Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-84.3801	170.85135	31.586012	-610.787	163.54546	-0.036707774	0.15677612	0.44301426	-0.48304677	2000	-0.18109779	2370.4253	-0.007928774	-679.5314	0.9189432	-5.2452087e-09	24.478637218475342
1	-645.77686	6.7048645	-639.072	-652.48175	1000.0	-9.2816725	0.32712796	-6.977665	-9.574509	4000	-0.2776311	2465.0447	-0.0043305457	-626.1521	0.9186401	-1.2278557e-08	50.70890259742737
2	-173.21802	230.21454	-36.87304	-632.49475	262.0	-16.502188	0.12298531	-14.812935	-16.566484	6000	-0.20506482	1584.716	-0.0042589605	-336.06445	0.9183436	-2.9802323e-09	77.3059310913086
3	-154.61836	172.0121	-13.131368	-532.11163	271.33334	-21.636898	0.038229827	-20.951883	-21.650003	8000	-0.15793906	687.46094	-0.0028621256	-116.744934	0.91806626	-4.172325e-09	102.73832869529724
4	-168.19719	247.80098	-11.800783	-660.6601	240.2	-24.817446	0.060982917	-24.14355	-24.842112	10000	-0.15204519	1229.8501	-0.0012759417	-241.98059	0.9178159	1.180172e-08	127.86604952812195
5	-99.966415	163.8932	-8.932444	-618.4498	150.6923	-29.325602	0.04599271	-28.528263	-29.34046	12000	-0.18278638	726.17804	-0.0021346211	-69.96283	0.9175643	4.768372e-10	151.781920671463
6	-129.31532	156.74582	-11.836025	-551.7729	215.88889	-31.990583	0.028750435	-31.392765	-31.997667	14000	-0.1092774	569.017	-0.0019649714	-39.23236	0.9173167	8.106232e-09	175.31021642684937
7	-75.85454	120.15756	1.5911416	-508.23016	124.25	-34.003765	0.03433548	-33.5405	-34.01173	16000	-0.07023474	553.042	-0.002077572	-11.65741	0.9170786	3.5762786e-09	199.5658838748932
8	-95.59936	163.67183	2.6551583	-625.99664	158.58333	-34.25982	3.285114	33.211796	-34.557114	18000	-0.112874456	597.46387	-0.0016637146	-34.98169	0.9168529	2.2649764e-09	220.74675011634827
9	-61.5966	117.36612	1.1541381	-510.54205	124.6875	-35.09664	4.7888956	31.84636	-35.926575	20000	-0.06427767	581.0081	-0.0019790381	-223.47372	0.91663855	7.1525574e-10	240.721941947937
