Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	351.30698	54.716557	500.96155	278.4525	343.56332	47.63904	412.31183	291.34915	143.07143	156.2	51999	124.62889	44.515514	183.14246	-119.41326	124.63048	44.515076	182.8139	-106.8441	-127.75439	28.102812	5398.37189912796
27	310.70328	148.47127	460.26022	10.274932	360.07596	24.000078	417.2688	340.7988	126.5625	146.0	53999	125.4421	44.38317	183.642	-94.64624	125.44218	44.381004	182.01137	-100.03189	-128.65692	32.024906	5629.992162466049
28	419.5945	106.147194	588.77655	302.76254	542.09534	47.968357	623.2616	480.3537	162.33333	187.0	55999	126.97625	44.000725	182.22145	-128.73776	126.97764	44.00473	181.00308	-128.68286	-130.10732	30.875895	5875.21839928627
29	551.876	154.21114	794.4901	288.9669	442.3602	160.79459	769.5465	352.7523	197.9	186.0	57999	128.84132	43.348328	231.43184	-97.248344	128.8423	43.34454	217.966	-113.19564	-132.04077	34.434967	6120.842078208923
30	821.12604	59.952114	906.5157	745.02246	580.98706	71.60111	789.0793	532.9553	272.85715	241.8	59999	131.10977	42.903973	226.07414	-98.13314	131.11137	42.897747	219.07753	-106.79093	-134.21329	35.07114	6344.515411615372
31	435.8508	306.51108	1118.7511	166.28777	329.6397	252.60844	1060.0892	147.8672	181.85715	166.4	61999	133.82018	42.408386	224.1541	-111.401924	133.82144	42.408993	221.32735	-110.62382	-137.04333	41.025517	6579.335374593735
32	1115.2092	870.0549	2794.3318	239.23703	172.02042	1.9233423	174.74068	168.31401	485.16666	93.5	63999	137.34517	42.083344	218.76851	-98.37443	137.34636	42.083504	216.59564	-117.98909	-140.70071	43.02528	6813.0288169384
33	198.31648	98.38786	479.1187	136.50964	125.07658	3.6050081	129.72847	119.08371	110.166664	73.1	65999	140.58334	42.14764	222.9653	-118.58948	140.58601	42.13166	223.9563	-159.98093	-143.8611	45.62863	7049.461625099182
34	299.0417	286.3861	1246.4379	162.79208	1060.5719	55.844086	1116.4178	944.50085	132.86667	345.6	67999	143.85689	42.44463	228.40321	-134.2283	143.85754	42.438942	230.10388	-134.82648	-147.14491	56.060814	7308.2098252773285
35	403.21585	210.09212	764.7891	151.62004	610.2143	9.014433	624.82794	597.88446	155.58333	200.1	69999	146.40208	43.19761	237.5066	-156.46169	146.4049	43.190895	236.73122	-148.93729	-149.44785	62.283016	7581.275547981262
36	625.54254	126.66374	821.3877	379.97577	830.04395	5.4864635	837.5835	816.2792	207.1	266.7	71999	148.26903	44.308838	245.25664	-132.0179	148.27052	44.30361	241.50813	-194.99794	-151.62915	59.6288	7865.797936916351
37	598.64087	105.20094	799.8838	475.49673	1199.5493	191.02126	1539.9055	980.2406	197.66667	360.7	73999	149.83691	45.929874	249.71559	-92.95924	149.83856	45.938686	242.59383	-110.28226	-153.00125	57.31821	8176.687859296799
38	805.9067	206.24838	1254.4094	571.30597	631.9107	12.888593	646.2949	609.78076	257.125	205.9	75999	151.98457	47.39506	253.4407	-92.16351	151.98415	47.406242	243.65643	-97.93697	-155.26053	56.21034	8487.532266616821
39	886.808	124.03825	1043.9668	704.80756	897.71094	60.41034	1008.84906	832.2753	276.875	278.3	77999	154.79814	48.599533	257.9235	-122.270515	154.79903	48.585342	246.56767	-141.87445	-157.96469	59.555557	8785.640075206757
40	821.0999	181.908	1116.1602	577.2228	908.466	81.61931	982.9288	683.87024	262.0	289.2	79999	157.45686	50.196888	260.5608	-50.963676	157.45792	50.195663	250.81479	-73.43062	-160.57246	53.841187	9101.248478412628
41	1050.8529	229.64468	1521.4563	789.30615	1219.7996	131.66257	1330.7314	997.1844	329.2857	373.0	81999	160.48434	51.18038	264.03314	-65.30821	160.48412	51.18045	258.52307	-71.42163	-163.80922	54.027115	9418.302727222443
42	1044.288	391.27835	1888.2168	723.06976	692.1464	239.76071	1402.2283	501.79092	328.0	248.0	83999	163.38828	52.654408	265.6822	-80.27538	163.38882	52.65089	259.60776	-83.7056	-166.80464	51.794613	9719.785953044891
43	982.26904	282.2456	1619.357	662.84656	1454.0222	344.77026	2349.0872	1159.7179	313.0	456.5	85999	166.87334	53.73568	267.57733	-69.2359	166.87271	53.741734	265.40823	-77.50704	-170.45622	52.320812	10024.439864635468
44	1047.5376	139.16197	1303.8353	855.8311	1143.4275	201.75941	1556.1759	896.98303	335.33334	350.5	87999	169.97005	55.004623	267.1142	-83.68845	169.97064	55.009224	263.88962	-110.290955	-173.40268	53.57935	10351.851600885391
45	836.6213	452.53897	1385.3943	285.11847	1001.2294	80.75967	1177.1658	918.8438	283.2857	322.1	89999	173.26547	56.02121	268.93723	-86.35691	173.266	56.015392	267.41037	-76.160736	-176.44972	51.10277	10671.908314228058
46	736.3237	286.71954	981.6303	272.905	1153.6671	222.87064	1361.7523	662.38293	254.0	386.2	91999	175.65652	57.07153	268.8318	-100.409546	175.65562	57.070774	267.0664	-92.67463	-178.99428	54.28142	10992.11365032196
47	890.73663	408.57217	1375.7882	360.84988	1332.8413	879.74146	2849.8574	448.96085	304.7143	480.0	93999	178.03625	57.893497	264.63666	-85.74912	178.03809	57.887356	265.2435	-83.06435	-181.21129	53.15289	11328.511429548264
48	1149.7881	107.10966	1279.1027	986.4748	1872.6885	840.0333	2894.9824	707.1463	376.8	643.5	95999	180.68808	58.2881	264.0386	-69.592224	180.6877	58.281845	265.1742	-82.15303	-183.90488	57.5945	11678.702385425568
49	1042.2616	368.8891	1772.7477	695.6163	794.1356	130.25645	1115.681	700.3366	332.33334	246.4	97999	182.58836	59.069176	264.4093	-147.96503	182.58997	59.072124	262.95294	-130.11203	-186.07051	52.74692	11996.5180413723
50	1195.575	439.23532	1909.7081	717.8162	1345.5336	744.3529	2756.3672	719.9315	369.0	438.2	99999	184.49782	59.505302	262.13992	-116.07137	184.49654	59.505306	264.16034	-121.71001	-187.82037	53.764313	12330.741783380508
51	1032.1141	199.81554	1409.4612	784.40857	1604.39	245.38333	1972.7249	1270.4147	323.0	511.3	101999	185.88272	59.79669	261.98502	-70.98749	185.8829	59.8048	265.51968	-85.90433	-188.83575	53.6805	12674.729952812195
52	564.51746	313.45383	1056.0847	53.00318	1211.0582	94.079834	1390.919	1087.6432	201.7	379.9	103999	187.2919	59.873676	262.82983	-79.03553	187.29182	59.867207	267.26837	-85.77111	-190.47272	59.14665	13008.141261577606
53	1130.42	779.8166	2297.2263	33.769047	1109.3635	548.0839	1607.0831	36.576584	379.4	360.8	105999	188.66975	60.240463	264.73227	-117.27099	188.67001	60.24491	267.04062	-54.5009	-191.62343	52.96516	13338.27572131157
54	1081.7814	436.53607	1665.3516	433.59525	988.2886	100.99949	1106.7747	754.041	352.0	309.3	107999	189.7646	60.9236	270.8875	-95.42493	189.7649	60.93383	267.5907	-78.47119	-192.8046	54.682365	13668.82756948471
55	950.52686	209.23477	1156.7279	545.83795	1581.8306	242.96481	2102.343	1244.0602	301.66666	502.5	109999	190.947	61.4442	271.74374	-107.497734	190.94733	61.44544	269.2991	-97.165405	-194.03177	57.171993	14010.255028247833
