Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	291.27344	88.024345	549.46716	112.85819	57.794117	111.649895	39.17415	135.53824	-28.669884	58000	5.2943825e-08	3923.3035	-0.052162223	-1249.8196	0.9098676	0.01600824	0.289	6.0	330.56826519966125
29	284.4195	79.70589	426.4258	100.53213	56.057144	110.34935	43.190998	140.87227	-20.367247	60000	2.682209e-08	3068.6992	-0.045196433	-1071.6831	0.9094881	0.019443348	0.2345	5.0	342.3151915073395
30	278.90457	79.32668	470.05258	97.33957	54.916668	114.13958	44.580643	145.41257	11.96794	62000	3.799796e-10	2834.0833	-0.042731572	-1160.6855	0.9090359	0.017231997	0.2195	5.0	354.0793216228485
31	290.7411	83.5151	450.317	126.11606	58.117645	115.59089	46.145634	149.24138	-42.34176	64000	3.245473e-08	2974.0188	-0.05043089	-1150.2087	0.908768	0.01770887	0.2945	6.0	366.40648007392883
32	292.53555	72.49194	527.9926	180.79185	58.088234	116.59392	48.74324	153.13591	-4.3903823	66000	4.8816204e-08	2383.0808	-0.042064663	-865.49963	0.90860397	0.016717201	0.2545	5.0	378.62084579467773
33	328.23972	91.90377	613.06964	226.10664	64.8	120.88259	47.835724	156.81631	-11.650499	68000	-9.1582535e-08	3466.8823	-0.046813708	-1164.1829	0.9085263	0.018785285	0.3395	6.0	391.2587366104126
34	295.56122	53.56403	445.25012	173.36404	56.85294	120.75595	51.02408	161.82405	-31.947268	70000	-1.3917685e-08	1666.1046	-0.03872776	-652.32477	0.90826964	0.01590117	0.24	5.0	403.34336972236633
35	336.42102	70.13585	525.25305	191.73175	65.36667	123.37422	49.766014	165.10083	6.164476	72000	-4.7892332e-08	2752.8933	-0.034279756	-1055.4893	0.90790236	0.016886326	0.192	4.0	415.9530999660492
36	333.48898	60.62841	480.8081	216.82451	65.8	130.81096	51.447113	169.74516	1.9752276	74000	-5.7011842e-08	1980.9291	-0.056605935	-723.44714	0.9076534	0.01888541	0.3095	7.0	428.5699985027313
37	312.478	82.612274	544.3908	83.76812	60.333332	131.75517	53.45282	173.8205	-16.81149	76000	-3.9197506e-08	2453.1404	-0.05077905	-1110.6725	0.9073383	0.019226847	0.321	6.0	441.0731348991394
38	321.95764	80.341064	528.60474	126.56588	63.032257	128.01947	56.55667	177.00362	-12.991469	78000	-2.4557114e-08	2072.3755	-0.043639883	-888.90784	0.90698606	0.017587319	0.226	5.0	453.5050494670868
