Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.470842	3.738043	26.745695	3.8084476	12.967532	-0.28949463	0.056500867	-0.13473582	-0.4583441	2000	-1.45435335e-08	39.475277	-0.022877095	-30.679663	0.9189396	0.01743431	0.224	3.0	29.593286514282227
1	10.4953375	3.8381057	29.87508	5.4184513	13.77931	4.156924	1.8788741	6.972365	-1.086765	4000	1.6000122e-08	10.435051	-0.031395007	-3.5619078	0.91930926	0.015676312	0.206	3.0	58.212923526763916
2	14.677948	7.2354383	39.765476	5.4667625	17.241379	5.759646	2.7070978	9.796738	-0.3230592	6000	-3.030896e-08	30.447515	-0.033740915	-8.856361	0.91923106	0.02315202	0.314	4.0	86.74135780334473
3	18.507866	10.302188	64.09347	5.182337	19.707071	8.635055	3.8212676	13.8161	-1.7719795	8000	3.315974e-09	87.62305	-0.027393604	-18.432915	0.9186482	0.016869098	0.167	3.0	114.70302248001099
4	39.204124	37.29529	223.34892	6.7589025	31.396826	13.044162	5.5328035	19.59697	-4.531087	10000	5.272031e-08	816.95844	-0.01970928	-246.78699	0.91798615	0.019842697	0.2425	4.0	141.96269178390503
5	89.981026	71.0349	239.87668	7.963088	54.0	26.315283	8.245893	31.367598	-18.50477	12000	3.8146974e-09	2262.2705	-0.009649485	-701.64026	0.9171106	0.017355798	0.2565	6.0	169.0691213607788
6	109.435524	58.336243	235.47865	16.512333	59.848484	43.085022	5.214859	44.357273	-3.9086769	14000	-1.6003847e-08	1480.1605	-0.007419037	-195.1372	0.915682	0.015200299	0.148	10.0	195.23918223381042
7	130.59654	52.345444	247.35576	53.59987	70.10714	50.225307	4.2123613	51.076694	6.4895563	16000	-1.6853214e-08	1408.5472	-0.016343705	-177.60315	0.91382635	0.008210324	0.0985	79.0	224.64859557151794
8	165.80907	53.562576	257.18176	66.20469	82.75	56.460884	2.4822302	56.98588	25.908092	18000	-2.5510788e-08	1839.7982	-0.02020626	-384.88562	0.9174427	0.013769773	0.121	79.0	253.30250334739685
9	157.88605	61.255875	224.94615	20.796104	78.24	61.114647	12.297202	65.25524	-26.264242	20000	2.8312206e-08	1425.087	-0.014280172	-217.60742	0.91033554	0.0052561555	0.0825	79.0	281.9093494415283
10	143.21172	66.59744	238.07788	53.50914	71.666664	66.04689	12.390564	71.2081	3.6384313	22000	2.7935952e-08	1380.4899	-0.021080406	-115.11328	0.91543424	0.014960337	0.134	79.0	310.8931715488434
11	178.76146	52.38792	233.7698	74.41677	85.95652	62.554455	19.339865	74.55149	-1.0875748	24000	1.9967556e-08	1205.2888	-0.009939271	-228.8811	0.9131762	0.016911801	0.231	8.0	336.82438945770264
12	200.3738	43.57077	266.26605	75.69928	93.57143	70.25388	18.18791	80.31528	-0.8787917	26000	1.1533499e-08	1136.3801	-0.018183468	-264.90637	0.9131723	0.011044762	0.1405	79.0	366.299033164978
13	192.11894	42.504986	242.29964	101.743095	91.7619	75.64902	20.984116	86.8867	-1.5026977	28000	-6.094575e-09	948.3993	-0.019401094	-224.73572	0.9198632	0.012031941	0.1005	79.0	396.0464828014374
14	220.25713	21.670908	251.77176	156.7531	101.73684	74.11164	24.71523	91.5408	5.1327024	30000	2.6464463e-08	708.3119	-0.007129895	-227.04651	0.9219155	0.016873693	0.1725	6.0	423.02632093429565
15	213.56213	40.673115	252.70245	83.1212	98.95	79.98515	27.574507	97.36826	2.638106	32000	-1.42753125e-08	618.4377	-0.0052102497	-134.35406	0.9227547	0.015295363	0.2335	5.0	449.55475068092346
16	202.35579	43.337902	259.93903	80.77333	93.57143	85.08696	25.610252	101.61045	-1.2063311	34000	-2.2657215e-08	625.4862	-0.008508409	-75.40369	0.9230186	0.020536352	0.205	5.0	476.41764283180237
17	220.59883	38.145683	264.89706	74.283325	100.57895	80.66069	30.718752	104.07996	2.2492194	36000	-1.6987324e-08	509.57516	-0.00705765	-133.41016	0.92189735	0.015533986	0.133	3.0	502.91903138160706
18	230.84148	41.166733	282.972	111.34321	109.166664	86.80576	29.86289	108.07568	3.7731094	38000	-2.5942922e-08	570.159	-0.0041432395	-141.92456	0.9211207	0.01708036	0.2675	5.0	529.3427617549896
19	264.7675	48.86012	318.55075	123.861046	124.73333	85.14946	32.204258	111.37839	-28.48838	40000	-7.56979e-09	756.75507	-0.0061277812	-251.08316	0.92063105	0.0218165	0.2435	4.0	555.4827611446381
20	308.2889	35.537422	350.85416	203.69295	142.71428	95.24955	31.936403	116.00042	-6.851364	42000	-1.3947487e-08	823.99036	-0.021210413	-216.07251	0.92051464	0.014686163	0.1645	79.0	585.0613691806793
21	305.29898	22.901836	340.00012	243.86992	136.28572	98.05026	34.131	121.82377	-16.077303	44000	6.3180923e-09	562.5137	-0.017338006	-188.20642	0.9079711	0.0072181853	0.12	79.0	614.848397731781
22	318.05054	25.747763	345.8125	248.8472	140.14285	103.37005	34.855164	127.33943	-3.034151	46000	4.4614076e-08	505.67227	-0.02254538	-169.88281	0.9133828	0.009950899	0.168	79.0	644.7302896976471
23	329.3158	25.227625	352.70206	255.64742	144.0	107.35195	36.239994	132.53015	-4.715877	48000	-1.6361476e-08	428.32635	-0.023013305	-136.20172	0.9123107	0.006658358	0.153	79.0	674.2447662353516
24	316.11844	53.36111	364.75153	142.84047	137.78572	113.807365	36.886765	137.14871	2.2777772	50000	-1.1101365e-08	696.0358	-0.0067466036	-197.63748	0.90781325	0.016034355	0.1775	6.0	699.2533595561981
25	323.60788	41.11218	386.55807	251.43175	141.85715	114.18286	35.86702	140.49478	-1.4346592	52000	1.525879e-08	428.07196	-0.0065234564	-139.84796	0.9074654	0.016969612	0.245	5.0	724.734778881073
26	350.46066	20.009752	387.36942	322.41742	149.61539	114.21199	39.17612	143.48068	2.6950061	54000	-3.0994414e-08	331.80603	-0.023986697	-153.26048	0.9076251	0.007029485	0.137	79.0	754.7895059585571
27	338.42972	42.72098	375.45627	208.11063	145.92308	122.185356	39.322037	147.56516	0.7098954	56000	-1.3589859e-08	462.64835	-0.020164374	-113.773315	0.89964956	0.0144170495	0.147	79.0	783.9148156642914
28	334.57794	60.02045	447.3198	160.29105	143.92308	119.008896	41.52078	150.42984	2.6097536	58000	2.4586917e-09	477.8744	-0.019005518	-120.65085	0.8816276	0.008720793	0.144	79.0	812.5599021911621
29	351.90228	29.625093	405.4351	298.06796	149.6923	120.63706	40.68669	152.5731	2.8851316	60000	-8.165836e-09	230.87161	-0.024940604	-68.94443	0.8757843	0.012274775	0.142	79.0	841.5266492366791
30	355.58722	24.501299	420.9456	309.69647	147.53847	124.22678	43.05589	155.15094	3.0635762	62000	9.834767e-09	197.37918	-0.024998056	-76.677055	0.872899	0.014272078	0.1515	79.0	869.7984867095947
31	379.53452	60.508816	574.6438	320.28204	152.61539	124.27222	42.980602	158.33745	4.102357	64000	-2.6673078e-08	572.9064	-0.00846562	-197.70578	0.8856221	0.01672222	0.2155	5.0	895.4177768230438
32	348.31702	57.88956	431.87894	236.17253	143.23077	134.0206	42.46419	162.39386	1.6097839	66000	-9.536743e-09	740.92596	-0.025832767	-282.5374	0.8855263	0.013025989	0.17	79.0	925.0507636070251
33	354.49496	84.94012	526.17584	216.12306	141.71428	132.7105	42.900227	163.6637	-4.2874947	68000	-1.8309801e-09	1037.5619	-0.005177483	-231.1355	0.8936119	0.0154467	0.159	4.0	951.3542709350586
34	348.38217	65.383644	446.31	201.33693	140.14285	131.42206	44.60824	165.2387	2.0972002	70000	1.10343095e-08	756.31006	-0.006041351	-174.87415	0.8934807	0.02242153	0.2365	5.0	977.8733606338501
35	325.80527	62.76986	395.96426	158.31798	131.33333	131.65184	44.555855	166.41508	2.7518783	72000	6.2063337e-09	704.4748	-0.0059870062	-147.78839	0.8927195	0.01597618	0.2335	4.0	1003.7548134326935
36	355.88727	33.318108	424.01465	281.14664	141.64285	126.67177	46.07121	166.22159	5.191371	74000	6.0349703e-09	457.40182	-0.013127054	-252.82971	0.8919524	0.01585005	0.196	14.0	1030.1735944747925
37	362.10367	54.94852	431.46573	186.6674	145.92308	132.60088	46.662174	167.73137	-1.3090906	76000	-2.0712614e-09	503.39883	-0.007983549	-165.72296	0.8869678	0.015813934	0.1785	3.0	1056.6947333812714
38	369.71063	63.31256	524.7185	308.20425	146.07692	134.94691	45.77785	168.83815	1.2662218	78000	5.185604e-09	482.81747	-0.024557993	-195.87057	0.88611037	0.015340961	0.16	50.0	1085.185823917389
39	348.62338	58.763706	416.86462	169.62613	139.14285	135.71822	48.630985	171.01889	-1.5334411	80000	1.4398247e-09	633.5999	-0.0072120824	-152.54843	0.8677146	0.020924661	0.209	4.0	1110.7330527305603
40	398.0892	57.539906	533.3332	315.94608	160.5	137.06433	44.117928	171.10483	4.0391498	82000	-9.9204485e-09	1018.4442	-0.006205949	-338.1563	0.8667916	0.01505419	0.201	3.0	1136.0542750358582
41	466.51013	119.22579	752.163	333.59872	177.45454	141.18028	43.8195	172.46642	0.486722	84000	-1.2695789e-08	1637.6653	-0.0021405986	-678.6839	0.86614805	0.015452259	0.2205	3.0	1160.906589269638
42	339.48477	174.10503	611.9552	150.26259	139.42857	160.22328	38.979153	180.481	2.0730908	86000	7.3462725e-09	4284.8916	-0.006677691	-1732.6555	0.8655992	0.021893749	0.2615	4.0	1186.4507286548615
43	426.79688	153.9902	743.82837	105.518585	170.36363	130.89998	45.496696	176.12024	-10.514662	88000	3.695488e-09	2133.7559	-0.024448104	-972.25183	0.8648191	0.012445775	0.1495	79.0	1215.3614892959595
44	491.5267	156.45245	652.1688	161.78033	192.7	155.60231	38.859505	181.55547	2.894886	90000	2.9832126e-08	2441.91	-0.024632808	-389.8086	0.8610435	0.0077221324	0.1405	79.0	1243.94282746315
45	515.8082	136.78928	743.63556	361.26892	198.9	155.84552	46.07061	184.40057	-8.398154	92000	3.8146974e-09	1163.8665	-0.021766108	-267.3935	0.86640364	0.0084636	0.124	79.0	1273.5494265556335
46	402.9758	78.12351	557.76855	283.07553	164.66667	160.80656	47.69238	189.75508	-3.8371208	94000	-1.1354685e-08	1996.2496	-0.013792283	-853.3661	0.8605824	0.017902106	0.1565	3.0	1299.0381834506989
