Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
30	120.66203	38.802467	265.71783	76.94648	24.675	61.591423	31.120462	96.41866	2.0242295	62000	-0.07936608	620.14764	-0.00723131	-296.38763	0.9187294	7.629395e-09	326.5146441459656
31	125.53465	41.14166	250.28006	77.23165	25.584415	62.124084	31.19543	97.590744	-7.9283876	64000	0.032553416	722.62006	-0.008472223	-370.09534	0.91870683	3.1471252e-08	337.7028546333313
32	131.18413	44.529068	236.63632	76.83237	26.666666	64.46571	32.137398	98.929474	-8.213265	66000	0.00571329	726.6208	-0.007035406	-330.11334	0.91868675	-9.536744e-10	348.80961203575134
33	135.5153	36.98553	267.37064	81.554955	27.760563	65.71676	32.87333	100.801094	-19.985163	68000	-0.02285701	593.1472	-0.0068233367	-305.431	0.9186766	-1.3828277e-08	360.11350560188293
34	134.80002	41.70976	259.5655	81.46694	27.342466	65.53222	32.63007	102.40769	1.7895408	70000	-0.03644869	676.3788	-0.0077484287	-311.37595	0.91866493	9.059906e-09	371.2391872406006
35	149.0713	52.6671	321.88394	76.83475	30.227272	67.89928	33.004894	103.97637	4.191717	72000	0.09989131	1104.0593	-0.0069497153	-484.6667	0.9186479	9.059906e-09	382.65737414360046
36	144.58429	61.450386	407.91843	81.58098	29.626865	71.50285	35.133125	107.045715	3.7052865	74000	-0.013011051	1361.3389	-0.006070379	-454.93756	0.918644	-1.7642975e-08	393.96673560142517
37	135.20601	46.339962	260.66064	81.61869	27.328768	71.16382	35.791904	110.65076	-3.407747	76000	-0.061112832	865.1937	-0.005949039	-472.99823	0.9186385	-8.5830685e-09	405.2540225982666
38	142.63171	46.747017	297.8194	81.633835	29.029411	70.776	36.549103	111.783455	-8.445701	78000	-0.05032782	863.3429	-0.0076802596	-458.10593	0.9186267	-6.6757204e-09	416.76266837120056
39	145.42117	44.434895	250.02411	81.979996	29.397058	70.98839	36.44732	113.26348	-17.913614	80000	0.013160091	803.6867	-0.007871211	-444.44595	0.91860896	-2.9563903e-08	428.20587825775146
40	150.97626	43.080093	242.10677	81.8108	30.66154	73.76821	36.38844	114.509285	0.06069231	82000	0.02635419	803.0891	-0.0074027106	-445.73248	0.9185961	-4.2438508e-08	439.7396819591522
41	149.27036	55.212517	293.9257	76.89276	30.30303	73.20207	37.30065	115.5945	-44.498672	84000	-0.04093436	1054.1848	-0.006084699	-498.2224	0.91858876	-1.6212464e-08	451.63474798202515
42	151.61618	52.863964	344.31787	81.725716	30.676924	76.79534	38.47404	117.413445	-31.973606	86000	-0.030324228	1082.5692	-0.007485166	-551.5205	0.9185768	5.6266785e-08	463.1912794113159
43	165.54716	66.12688	405.4661	81.70153	33.15	75.816925	37.956226	119.23225	-30.41904	88000	0.013385004	1726.5842	-0.0069342083	-796.927	0.9185632	4.386902e-08	474.78262972831726
44	167.24194	62.096893	389.306	87.2785	33.711864	81.36501	40.676617	122.936424	-1.9329753	90000	0.07330075	1357.2386	-0.0074514747	-635.5477	0.9185501	-5.0544738e-08	486.5111062526703
45	158.93982	52.452305	311.53754	81.87039	32.37705	80.32917	40.3902	126.00429	-19.636784	92000	0.045136657	1050.4901	-0.00679658	-588.0285	0.9185532	-9.059906e-09	497.9824888706207
46	159.11168	47.321274	293.39032	81.787735	32.27869	80.04112	40.753555	127.093544	-21.187805	94000	0.0030695272	978.12366	-0.006602374	-621.34985	0.91855985	4.673004e-08	509.34321308135986
47	172.33438	61.95506	388.29263	85.67984	34.736843	81.05143	40.082855	127.97492	-14.508783	96000	-0.0679432	1235.0679	-0.006784275	-568.95483	0.9185637	-1.5735626e-08	520.9776902198792
48	169.04297	60.055874	315.2688	81.861786	34.12069	85.68833	41.02208	131.21637	-3.202034	98000	-0.07094581	1206.5898	-0.006502226	-630.9212	0.91855943	-2.3841857e-09	532.5384087562561
49	174.15495	62.17016	333.02728	81.824356	35.05357	80.66066	43.08849	133.13928	-3.903831	100000	-0.048624802	1443.9668	-0.0075198673	-804.0647	0.9185526	8.5830685e-09	544.2425169944763
50	178.58347	70.13987	398.67624	81.63891	35.98148	88.7922	43.57832	135.0679	-17.47699	102000	-0.13860902	1744.5361	-0.008359939	-828.6132	0.91853935	-2.002716e-08	555.7825155258179
51	178.05894	54.891655	320.7701	77.07136	36.21818	91.9404	43.920193	138.49878	-8.465445	104000	-0.11954281	1240.103	-0.0072896034	-757.7831	0.91851735	-1.66893e-08	567.4104447364807
52	203.22534	70.805824	483.6624	92.518616	40.75	90.22509	41.037804	139.84755	-13.211868	106000	-0.12866063	2153.4016	-0.005802244	-1132.8438	0.9184751	5.0544738e-08	579.1687140464783
53	205.10823	75.99306	391.1153	86.325195	41.458332	98.21912	46.679504	144.24124	-20.923273	108000	-0.10045032	1855.1246	-0.007868946	-904.6599	0.91843075	-4.8160555e-08	590.803108215332
54	211.02812	76.65312	389.33118	86.58227	43.133335	92.76625	47.481506	148.42441	1.497304	110000	-0.08250674	2111.6174	-0.0068384483	-1165.6702	0.91837275	-1.4305114e-08	602.5144691467285
