Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	64.983536	2.3554106	67.128	61.779835	63.839264	2.3002005	66.418945	61.4752	13.612245	13.5	51999	34.85473	17.67026	75.95865	0.22982568	34.85453	17.669771	75.64668	-3.016645	-34.49017	1.7309266	9121.475858688354
27	64.822	2.3644097	67.13297	61.72357	64.785934	2.1026478	66.26104	61.542633	13.581081	13.7	53999	34.854977	17.680931	78.7143	-0.14613175	34.854908	17.68109	75.221924	-0.78315073	-34.463554	1.6875461	9517.335894346237
28	64.43576	2.3738892	67.05736	61.815376	65.22234	1.8574926	66.30322	61.474636	13.5	13.8	55999	34.778927	17.662247	76.72768	-2.135603	34.778625	17.662825	75.87218	-0.1850481	-34.422478	1.6934644	9882.295929670334
29	65.11582	2.3004894	67.12677	61.833385	63.868397	2.284208	66.325356	61.54183	13.636987	13.5	57999	34.637245	17.674164	76.46427	-2.0839372	34.637356	17.674025	75.29669	0.25659227	-34.27794	1.6239895	10283.207654714584
30	64.91672	2.3540456	67.05718	61.71968	63.368755	2.2595856	66.22931	61.408596	13.5986395	13.4	59999	34.507423	17.632315	75.214806	-0.08925092	34.507458	17.632662	75.24376	-2.290619	-34.13736	1.598354	10688.58315372467
31	65.12884	2.2982643	67.10931	61.794315	63.81498	2.375237	66.32125	61.257473	13.646258	13.5	61999	34.543674	17.62931	75.376884	-1.8900073	34.543663	17.628675	74.86586	0.18042386	-34.11647	1.5926036	11091.83636021614
32	64.57554	2.3941243	67.089806	61.693027	63.339714	2.3490865	66.3615	61.348446	13.527027	13.4	63999	34.58429	17.595251	75.352036	0.5216214	34.584152	17.595562	74.1384	0.26102036	-34.254433	1.582341	11506.346289873123
33	64.5111	2.3808298	67.10397	61.80595	65.25853	1.8456007	66.34961	61.516766	13.513514	13.8	65999	34.43311	17.620539	75.139694	0.30725378	34.433205	17.62074	73.55862	-1.0864561	-34.13247	1.5457151	11922.864907741547
34	64.83621	2.3494334	67.094154	61.837868	63.402565	2.2680411	66.3026	61.441387	13.585034	13.4	67999	34.43241	17.586226	79.282166	-3.4647758	34.432335	17.585728	74.384636	-1.2171211	-34.107796	1.5212834	12330.089359998703
35	65.25158	2.2400348	67.167046	61.80642	64.77944	2.170937	66.373924	61.319515	13.671233	13.7	69999	34.46148	17.539259	73.92304	0.5805126	34.461494	17.539362	76.1872	-1.3658223	-34.09902	1.5178996	12750.366491317749
36	64.622635	2.3925989	67.12509	61.737156	64.79024	2.1838908	66.43675	61.296154	13.540541	13.7	71999	34.357754	17.535341	73.84134	-4.2691975	34.357784	17.535263	72.83572	0.21961766	-34.083225	1.4785514	13166.79531288147
37	65.00527	2.3088727	67.13049	61.842785	63.877583	2.3840804	66.365166	61.36206	13.619047	13.5	73999	34.430218	17.522495	75.62701	-0.59607655	34.430004	17.522251	73.88363	0.9587647	-34.158882	1.468928	13590.416320800781
38	64.93625	2.3400757	67.10383	61.7964	63.333637	2.3333178	66.30805	61.253025	13.605442	13.4	75999	34.34894	17.477028	74.342575	-1.1533799	34.34883	17.477371	73.233635	-0.41159976	-34.09228	1.4389316	14016.45417881012
39	64.70694	2.3754714	67.13206	61.774464	64.35479	2.359652	66.327866	61.438847	13.557823	13.6	77999	34.306133	17.483686	74.263405	-1.7988346	34.30639	17.483118	76.16763	0.21063852	-34.093803	1.449831	14439.382017374039
40	64.81395	2.3642187	67.11438	61.775524	64.33873	2.3169413	66.43038	61.376656	13.574325	13.6	79999	34.336235	17.525946	73.130035	-0.877775	34.33607	17.525787	77.845924	-1.4141011	-34.033604	1.4326342	14849.543250322342
41	64.71678	2.3821635	67.121475	61.760513	65.237076	1.8472707	66.28008	61.408985	13.557823	13.8	81999	34.25336	17.530373	72.651794	-0.7424476	34.25334	17.530172	74.34287	-0.5250652	-33.981644	1.3960212	15277.488781690598
42	64.823746	2.3611474	67.10923	61.818752	63.829437	2.3382483	66.35011	61.41056	13.581081	13.5	83999	34.238064	17.467115	73.39317	-0.9609342	34.238304	17.466753	74.97342	0.298338	-33.97552	1.3616704	15712.210186243057
43	65.09143	2.3114095	67.148346	61.807476	64.29695	2.3686588	66.255066	61.304176	13.636987	13.6	85999	34.258488	17.446213	76.72598	-3.873303	34.258606	17.446177	73.669716	-3.0813642	-34.01285	1.3638588	16151.629463672638
44	65.2418	2.2498705	67.100235	61.822773	64.315475	2.4212785	66.42392	61.251537	13.666667	13.6	87999	34.216152	17.486673	74.44345	-3.1449916	34.21604	17.48626	73.66861	-4.5153284	-33.962017	1.3712058	16594.629192590714
45	64.99821	2.3234289	67.132996	61.7471	64.738846	2.200122	66.37105	61.265545	13.616438	13.7	89999	34.204514	17.501072	74.01001	-1.5267267	34.20452	17.500834	71.85477	-0.0011256933	-33.962	1.3606812	17046.181208610535
46	64.91397	2.348753	67.10527	61.760384	65.72155	1.4066248	66.30529	61.51035	13.5986395	13.9	91999	34.218006	17.485254	74.79983	-0.4181745	34.21808	17.484983	74.1637	0.70879906	-33.99368	1.3390259	17503.827789068222
47	65.19669	2.2747571	67.089005	61.671814	64.784775	2.2277956	66.4073	61.29722	13.659863	13.7	93999	34.14507	17.54036	72.08506	-2.3645718	34.145226	17.54029	72.89293	-0.14497799	-33.865486	1.3535762	17961.248975276947
48	65.03688	2.3258924	67.090096	61.788124	64.32819	2.3411188	66.34052	61.34284	13.619047	13.6	95999	34.22767	17.496944	76.97208	-4.0378113	34.227467	17.496689	75.638466	0.021875322	-34.00525	1.332178	18414.022979974747
49	64.82839	2.3564548	67.123116	61.81098	63.344055	2.3244345	66.30201	61.354416	13.578231	13.4	97999	34.143524	17.525152	75.09278	-2.617842	34.14356	17.52529	73.18669	-0.5644862	-33.91794	1.3368565	18879.489981651306
50	65.062294	2.3062384	67.089485	61.81424	63.835186	2.3957944	66.32956	61.215816	13.632653	13.5	99999	34.070324	17.5321	72.40298	0.060172915	34.070324	17.53182	73.0018	0.17660934	-33.88999	1.3152055	19344.0821120739
51	64.96909	2.3416522	67.09005	61.76531	64.78062	2.1568532	66.30268	61.342255	13.612245	13.7	101999	34.14228	17.48008	76.23733	-6.5570903	34.142265	17.479948	74.27319	-1.2113373	-33.97909	1.2968692	19812.341497421265
52	64.43476	2.4121654	67.099945	61.743435	64.847	2.1904736	66.416695	61.387157	13.5	13.7	103999	34.222157	17.495838	72.34397	-17.454536	34.22216	17.49587	74.72257	-4.274976	-34.03945	1.2908269	20284.913993358612
53	64.94386	2.3338072	67.09285	61.78865	64.34572	2.3232224	66.44176	61.353733	13.605442	13.6	105999	34.108887	17.508642	72.48697	-6.5486255	34.108936	17.508492	73.09275	-3.1100357	-33.887882	1.2955142	20767.19049501419
54	65.012344	2.3285751	67.14303	61.783623	63.791374	2.3365564	66.16966	61.3432	13.619047	13.5	107999	34.105587	17.501009	85.86491	-3.1916847	34.10545	17.501081	72.66192	-0.02591616	-33.944054	1.2787142	21245.407696008682
55	65.05795	2.2941375	67.09022	61.80227	64.3082	2.2695246	66.32866	61.41449	13.630137	13.6	109999	34.071014	17.487404	73.07545	-4.1221776	34.071014	17.487343	75.54512	-1.4815643	-33.836395	1.2648884	21722.689886808395
56	65.13747	2.285575	67.01421	61.81002	64.786026	2.1769538	66.387215	61.434456	13.646258	13.7	111999	34.015274	17.482233	72.308685	-3.1950974	34.015278	17.482016	72.206184	-3.402244	-33.871456	1.2783289	22211.1852478981
57	64.61677	2.3807082	67.080925	61.786705	64.366394	2.309806	66.4002	61.471855	13.533784	13.6	113999	34.122925	17.497492	72.15823	-3.2720337	34.122707	17.497282	74.01009	0.10371536	-33.94649	1.2555579	22706.3099296093
58	64.911316	2.3589501	67.09164	61.76116	64.33028	2.2964773	66.39049	61.42224	13.5986395	13.6	115999	34.103794	17.490543	71.66308	0.14299232	34.10378	17.49052	71.86154	-1.0103192	-33.931995	1.2364701	23203.47942852974
59	64.62936	2.3869004	67.16155	61.779545	65.22736	1.8822922	66.2194	61.427567	13.540541	13.8	117999	34.09174	17.502987	73.52652	-0.12811387	34.091583	17.502813	74.385155	-4.494526	-33.85752	1.2455844	23705.33852314949
60	64.865845	2.341137	67.13049	61.84341	64.80571	2.1947818	66.41076	61.373463	13.585034	13.7	119999	34.064644	17.479053	71.13324	-1.3656249	34.064747	17.479244	70.557304	0.16385835	-33.88517	1.2202721	24217.673977851868
61	64.86953	2.3372548	67.187935	61.86468	64.35003	2.30301	66.29955	61.502243	13.591837	13.6	121999	34.085945	17.516884	72.073654	-0.3822664	34.085773	17.516768	72.71769	-1.1986737	-33.86459	1.2282627	24739.52837252617
62	64.75675	2.3730695	67.12598	61.802654	63.84126	2.3987827	66.355736	61.383392	13.564626	13.5	123999	34.04168	17.477213	71.49179	-0.03857255	34.041588	17.476982	75.48579	-1.0162625	-33.7786	1.2421495	25268.111750602722
63	65.02813	2.3216794	67.15347	61.748367	64.34065	2.3288414	66.334564	61.35649	13.625851	13.6	125999	34.07294	17.500261	71.23246	-5.3421955	34.072777	17.5	74.832985	-2.387364	-33.857483	1.2354834	25817.663175582886
64	64.734955	2.357513	67.082504	61.82131	63.42804	2.3453305	66.44976	61.399456	13.560811	13.4	127999	34.0094	17.491322	76.35148	1.2649106	34.009315	17.491411	72.78305	-1.1938639	-33.860428	1.2108641	26380.436911821365
65	64.94563	2.336309	67.11112	61.804165	63.381786	2.319985	66.313515	61.40866	13.605442	13.4	129999	33.981087	17.470192	73.66933	-0.6929873	33.981007	17.470201	70.61642	-0.727051	-33.75767	1.1694354	26963.75118613243
66	64.9373	2.335167	67.08397	61.72347	63.841633	2.3621376	66.352936	61.318726	13.605442	13.5	131999	33.943424	17.476778	74.93236	0.59526956	33.943455	17.476522	73.15854	-0.48631865	-33.734993	1.2100463	27552.59934425354
67	65.289894	2.2374496	67.104485	61.737064	63.848602	2.419479	66.35894	61.242126	13.678082	13.5	133999	34.047115	17.489876	73.87532	1.0236787	34.047073	17.489698	72.073166	-0.036603272	-33.854374	1.2104064	28160.25907611847
68	64.98916	2.3353624	67.09806	61.74878	62.954967	2.1986942	66.38067	61.417767	13.612245	13.3	135999	34.009228	17.52298	71.99822	-4.421629	34.0092	17.522667	71.43931	-1.7081101	-33.832516	1.2195572	28771.051750183105
69	64.822395	2.3846729	67.13658	61.753384	63.878548	2.4104078	66.374146	61.27599	13.578231	13.5	137999	33.994137	17.48493	72.37711	-7.555766	33.99416	17.484648	73.90339	-1.8664374	-33.812534	1.1953186	29396.034286260605
70	65.0088	2.3132925	67.055954	61.846146	64.338394	2.2852366	66.41875	61.46491	13.619047	13.6	139999	34.033337	17.519295	71.89163	-0.9783945	34.03317	17.519342	71.85431	-2.3962393	-33.7947	1.1917375	30025.297465324402
71	65.19577	2.2868176	67.09597	61.794624	63.354675	2.3485274	66.41456	61.386646	13.657535	13.4	141999	33.961746	17.500605	73.31549	1.4469967	33.961662	17.500301	71.90012	-0.07627118	-33.797478	1.1776426	30654.827194929123
72	65.22787	2.2489598	67.13562	61.76948	64.71565	2.1155658	66.28008	61.300163	13.666667	13.7	143999	34.01415	17.498346	72.016205	-0.24986374	34.01405	17.498468	75.5423	0.77433646	-33.78861	1.1691085	31293.625867843628
73	64.65514	2.3642173	67.11272	61.83813	64.77151	2.1616251	66.2784	61.320633	13.544218	13.7	145999	33.961334	17.523438	72.55721	-6.8389015	33.961315	17.523071	72.60304	0.07824147	-33.770412	1.1741809	31932.73007273674
74	64.84704	2.376408	67.14526	61.8602	63.380646	2.292376	66.285034	61.43027	13.581081	13.4	147999	34.05398	17.470524	71.18302	-3.0765786	34.053844	17.470776	72.824036	-1.6124398	-33.917126	1.1578999	32570.73787689209
75	65.26936	2.2736034	67.10456	61.793537	64.822495	2.2046525	66.40367	61.367744	13.671233	13.7	149999	33.983383	17.496529	76.9804	-0.006143093	33.983334	17.49659	73.91853	-1.3394413	-33.81651	1.1628345	33212.734558582306
76	65.03366	2.3165147	67.11491	61.804974	64.268	2.3011184	66.42548	61.31254	13.625851	13.6	151999	33.95483	17.49847	75.13047	-1.0681295	33.954712	17.49842	75.160675	-0.99911106	-33.75727	1.175948	33858.800558805466
77	65.00208	2.3389418	67.08575	61.813957	63.89076	2.3768904	66.363815	61.414356	13.619047	13.5	153999	34.032047	17.50577	75.96332	-2.6634936	34.032047	17.505756	72.53735	-1.6328223	-33.912235	1.1685065	34496.60763382912
78	65.156555	2.2605824	67.08497	61.815422	64.25206	2.3302543	66.29968	61.300163	13.650685	13.6	155999	33.989414	17.501966	70.85222	-1.0333067	33.989494	17.501953	71.04402	-1.066006	-33.80878	1.154852	35127.4671292305
79	64.58046	2.3827221	67.08019	61.761143	63.805756	2.4179058	66.3245	61.261337	13.527027	13.5	157999	34.00232	17.51055	72.74454	-0.84834015	34.002113	17.510836	69.980286	-0.433689	-33.83447	1.1649394	35769.22950434685
80	64.50209	2.3728998	67.03736	61.801075	63.361656	2.3168147	66.28419	61.329353	13.513514	13.4	159999	34.049305	17.534286	75.827576	-2.1495256	34.049248	17.533916	73.36366	-1.2254577	-33.838566	1.1563427	36406.20429396629
81	64.39304	2.388425	67.08775	61.802383	64.761856	2.1672342	66.41998	61.369698	13.493243	13.7	161999	33.953476	17.537975	71.907196	-2.362592	33.95327	17.538021	71.50537	-2.372861	-33.810368	1.1773337	37053.24629735947
