Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	327.6281	40.61943	369.71616	211.21425	146.6923	118.831184	39.31254	147.27466	0.88670266	58000	4.056841e-09	300.48682	-0.009134872	-76.487274	0.84438884	0.020326983	0.2335	4.0	231.17028307914734
29	331.94238	29.988844	381.49704	262.91092	149.84616	119.72961	39.909454	149.56924	3.7859898	60000	-1.8231571e-08	211.29999	-0.0023917896	-65.096054	0.84411806	0.016262613	0.1885	4.0	238.61440682411194
30	311.39572	52.54107	373.26627	208.11824	141.35715	119.72195	39.48557	151.3573	3.2986825	62000	-9.685754e-10	760.3853	-0.008885147	-361.08167	0.84363335	0.017317465	0.312	8.0	246.36209201812744
31	325.40228	16.316444	346.2691	289.21597	140.28572	117.111015	39.73639	152.31364	3.709588	64000	1.3545155e-08	234.67949	-0.0068585644	-160.05618	0.84310305	0.015735632	0.2065	6.0	253.7940878868103
32	304.65524	33.856495	351.09894	215.60805	131.6	118.897804	42.94616	154.41338	-1.796385	66000	9.201467e-09	263.48856	-0.025647908	-118.56242	0.8425857	0.01126108	0.1605	79.0	262.2663118839264
33	323.37653	35.139366	394.24255	273.39554	137.92857	116.25481	42.294647	155.00764	-15.206689	68000	-7.629395e-09	295.39706	-0.031777836	-154.86957	0.8225625	0.015199917	0.1805	79.0	270.79824686050415
34	309.4677	76.12424	359.91394	46.39606	130.73334	119.23071	44.600063	156.48906	-10.931848	70000	1.6018749e-09	591.5556	-0.01042574	-212.56284	0.8027374	0.016515976	0.1735	4.0	278.4811809062958
35	320.6092	49.59257	371.2418	159.35124	135.64285	120.73502	43.926014	157.0665	-10.16675	72000	6.437302e-09	414.2165	-0.0036145218	-117.64105	0.8021914	0.018819883	0.2835	5.0	286.14517283439636
36	335.5293	10.02077	358.30365	321.5267	137.78572	122.632454	43.459488	158.24951	4.283531	74000	8.672476e-09	103.59053	-0.024063906	-60.74381	0.8012025	0.009117278	0.107	79.0	294.6061635017395
37	340.17325	12.148956	373.5834	323.48553	139.78572	121.690704	48.044075	160.93748	3.3179889	76000	-2.7775764e-08	82.967384	-0.0058827936	-47.10232	0.79001415	0.016818738	0.1725	4.0	302.0170967578888
38	332.32178	40.326458	401.13773	226.45323	136.0	125.76094	45.680527	163.25217	3.1555388	78000	2.2944063e-08	320.1198	-0.025236908	-93.05046	0.7900738	0.009491914	0.1785	79.0	310.593288898468
39	337.63614	12.95917	366.29602	316.39343	136.71428	125.50771	47.01765	164.50513	-0.20470476	80000	2.43783e-08	53.263744	-0.008404946	-19.959084	0.7947695	0.017724823	0.179	4.0	318.33550095558167
40	342.8796	25.720263	408.68192	308.92505	138.64285	127.144264	46.61703	166.0337	3.552827	82000	-2.0101666e-08	93.021034	-0.0056792926	-26.214256	0.79505026	0.020243157	0.2425	4.0	325.9420657157898
41	326.98715	61.638924	425.18845	130.62698	129.4	132.57628	45.233543	167.62119	3.493895	84000	-6.787479e-09	580.87225	-0.0067138784	-140.93854	0.7953707	0.020047437	0.263	4.0	333.23008966445923
42	373.11414	40.229767	449.0888	329.46817	143.38461	132.067	41.958572	168.02638	-7.8366346	86000	2.0563602e-08	443.2413	-0.0019444795	-262.803	0.79573387	0.016329562	0.197	3.0	340.62929224967957
43	359.63602	66.589386	468.04773	230.85101	140.92857	141.90652	45.20052	172.97209	0.9799702	88000	-1.1701137e-08	1023.39325	-0.026021335	-591.6596	0.7960445	0.0073857014	0.134	79.0	349.1741862297058
44	369.19485	46.56693	443.10086	259.18964	144.92308	137.98233	46.936413	173.55212	1.8178649	90000	-2.5629998e-09	384.23227	-0.008416238	-163.9786	0.7995243	0.017063897	0.236	5.0	356.72607707977295
45	361.7039	47.468124	452.78415	272.18085	140.14285	140.25537	46.827946	175.06638	4.2567353	92000	1.7248094e-09	409.4173	-0.0072714696	-186.74185	0.7995497	0.016309887	0.1865	5.0	364.17001581192017
46	399.1069	68.65896	549.7632	305.83417	150.91667	138.1889	45.528168	175.89598	2.117649	94000	-6.765127e-09	651.2688	-0.008335358	-312.4966	0.79948866	0.0173435	0.147	5.0	371.5770790576935
