Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	96.12342	19.557116	159.21252	71.89568	19.752476	-0.053602926	0.27074736	0.70633006	-0.704529	2000	-0.055169832	3210.455	-0.03607784	-840.1802	0.9189439	2.861023e-09	30.02649164199829
1	93.76102	22.035412	171.92491	72.045296	19.30097	9.468098	0.051449724	9.474161	7.4320273	4000	0.0025895434	2342.987	-0.020164859	-389.77795	0.91881835	-3.385544e-08	59.91514492034912
2	96.67979	25.564157	233.49455	72.21845	19.92	14.867322	0.34112847	14.876783	-0.36868727	6000	-0.074111156	2204.0017	-0.016665451	-324.7826	0.91874564	-3.8146974e-09	88.96211957931519
3	95.69696	22.977865	200.8433	71.78512	19.568628	19.79932	0.20292665	19.805286	10.774535	8000	-0.054375052	1756.8871	-0.012547374	-239.90967	0.91866195	-5.2452087e-08	117.34756708145142
4	95.152016	17.651352	169.83362	76.64662	19.490196	24.160917	0.034845516	24.162477	22.679514	10000	-0.012275753	1345.0546	-0.013097196	-171.01892	0.9185863	-4.5776368e-08	144.46260476112366
5	95.96973	21.551018	174.488	72.03285	19.683168	27.898958	0.8692166	27.949364	0.67396027	12000	0.076411255	1294.0255	-0.009683646	-151.54382	0.91853404	2.0980835e-08	171.45066809654236
6	99.10535	28.387556	255.29683	76.84709	20.37755	30.95012	2.7877321	31.494274	1.2791308	14000	0.057780895	1466.4227	-0.0084585175	-241.4165	0.9185114	-1.001358e-08	199.034197807312
7	102.07472	23.294521	163.04231	76.70875	20.989473	31.05005	7.5778213	35.318844	-3.7252798	16000	0.07038041	1117.938	-0.0068892464	-198.01605	0.91849774	-2.6226044e-08	222.10506105422974
8	103.145584	28.374912	200.2837	76.620964	21.276596	33.373974	10.42717	39.33195	-3.5545049	18000	-0.077377535	1120.5511	-0.007483512	-178.51245	0.918507	-1.7642975e-08	245.10311079025269
9	104.68848	29.057499	255.59283	72.327126	21.483871	35.918583	11.652106	43.19636	-5.2248616	20000	0.060482647	1042.2708	-0.00870195	-166.63647	0.91849047	-3.0994414e-08	281.734158039093
