Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
31	352.22174	36.740387	388.96213	315.48135	355.95853	296.21365	679.5506	-19.979115	1000.0	628.3	61999	177.96999	21.839245	232.57858	-140.64804	-180.80519	25.387442	5478.167692422867
32	221.93721	219.66347	441.60068	2.2737448	486.4505	150.2003	648.9481	54.52349	1000.0	1000.0	63999	167.39404	21.701988	224.35571	-147.00214	-170.15977	22.502748	5745.748212814331
33	21.08793	121.36378	181.92592	-111.216576	554.9696	256.4929	823.263	3.735621	479.66666	840.5	65999	157.80098	21.819178	214.84969	-126.82956	-160.45688	19.72746	6003.187304019928
34	654.68005	31.961334	686.64136	622.7187	574.7225	212.45233	690.8362	5.884304	1000.0	902.3	67999	150.20712	22.418077	210.41502	-103.68077	-152.84206	18.96543	6254.04882478714
35	575.8054	96.675446	672.4809	479.13	99.04663	396.39008	596.577	-963.86487	1000.0	1000.0	69999	144.0255	23.197298	199.09094	-119.69135	-146.6057	17.133944	6510.749250173569
36	590.3324	37.510223	627.8426	552.82214	320.9265	294.29736	702.6121	-95.321304	1000.0	1000.0	71999	138.62665	23.957136	193.89082	-97.203674	-141.18329	14.791865	6780.357134103775
37	255.11456	145.89229	373.44534	49.57564	508.12793	200.12146	713.39874	24.801773	765.3333	904.3	73999	133.87144	24.38882	188.409	-100.341515	-136.3	13.340825	7036.5729875564575
38	168.99043	216.80534	475.58035	12.727469	81.92242	91.41909	284.6855	1.1398838	730.3333	365.9	75999	129.23831	24.28824	181.437	-117.18283	-131.6414	12.480581	7235.332342863083
39	262.714	256.61926	600.8488	-20.626354	541.6776	273.46594	826.83	79.06498	517.25	827.9	77999	125.20889	24.175049	175.0751	-88.74235	-127.51011	12.341724	7503.345272779465
40	401.18454	235.97174	733.9581	213.11151	620.4757	102.557495	718.9326	434.62323	778.0	1000.0	79999	121.694	23.854322	172.57968	-85.31921	-123.99762	11.180181	7773.654142379761
41	297.89517	260.53275	651.3236	31.002151	639.8997	211.62225	734.43915	6.5578704	480.0	901.9	81999	118.30634	23.725975	161.87175	-80.266235	-120.50911	10.626622	8054.451780557632
42	258.98047	191.43405	503.46698	7.614954	582.40094	20.400045	620.06885	544.7925	508.8	1000.0	83999	115.3772	23.581017	160.58072	-72.935814	-117.57714	9.878019	8343.519627094269
43	564.42114	41.54123	605.9624	522.87994	690.3948	99.46135	882.9097	593.38055	1000.0	1000.0	85999	113.27539	23.278866	153.57912	-149.40587	-115.47573	9.163167	8633.005642652512
44	594.99194	11.722961	606.7149	583.269	223.9368	100.927895	469.15106	78.454956	1000.0	915.9	87999	111.92431	23.023249	154.0331	-70.65251	-114.12281	8.698413	8891.512324810028
45	290.9303	97.62452	388.5548	193.30577	114.35282	271.6373	658.4275	-143.90456	1000.0	1000.0	89999	111.07305	23.040396	157.00824	-92.402985	-113.278595	8.835416	9179.952127695084
46	392.80988	60.28058	453.09045	332.5293	620.0889	260.25787	875.1584	53.512894	1000.0	908.0	91999	110.24619	22.852016	160.7953	-76.191826	-112.3925	8.306656	9460.84814453125
47	279.10788	240.96548	619.5151	95.165504	605.0144	140.17934	751.8256	284.6548	466.66666	945.7	93999	109.93295	22.55636	162.12277	-54.31035	-112.0753	8.178037	9731.468347549438
48	297.68405	162.2661	459.95013	135.41795	699.2899	126.66082	790.66656	401.90588	1000.0	1000.0	95999	109.51934	22.538494	168.43861	-75.94072	-111.63096	8.069459	9998.5496032238
49	525.01	91.020035	616.03	433.98996	346.92673	262.30328	694.7722	-184.49487	1000.0	918.6	97999	108.93644	22.77649	179.25734	-71.15338	-111.033325	7.8909736	10284.938639879227
50	154.3264	224.25949	598.97125	-2.653737	401.3873	279.5261	769.7329	7.804011	406.0	709.2	99999	108.74014	23.183434	180.06378	-98.18167	-110.86508	8.278722	10550.961596250534
51	455.57227	112.8584	568.43066	342.71387	567.2019	210.01521	750.12994	34.420494	1000.0	860.2	101999	108.94818	23.349482	168.63438	-72.77292	-111.02975	7.952112	10823.183138608932
52	484.3825	117.066956	601.44946	367.31555	203.45506	162.62709	410.9403	-148.07684	1000.0	838.9	103999	109.20434	23.634583	190.20218	-56.496372	-111.25464	7.5103283	11101.88903427124
53	69.15446	65.15994	163.74254	4.317055	68.17623	142.21873	443.04526	-97.220345	316.83334	818.0	105999	109.5745	24.04504	187.23312	-61.3243	-111.63461	8.365465	11378.212261915207
54	277.4911	274.81152	609.6793	-63.30362	378.13382	200.53119	581.5173	7.8560953	838.0	762.6	107999	109.92576	24.22269	182.8675	-59.531612	-111.963394	7.7350087	11653.019738435745
55	182.45145	91.210365	295.75772	53.590454	622.1164	77.19592	730.4081	525.0918	504.75	1000.0	109999	110.24045	24.253819	181.64526	-76.61413	-112.23207	8.036285	11947.739848136902
56	300.9452	20.33818	321.28336	280.607	512.2054	20.667524	548.7339	476.0536	777.0	1000.0	111999	109.93634	24.246904	179.99506	-77.65453	-111.88985	7.677624	12238.057398080826
57	208.5787	153.76822	435.65674	41.86908	374.04373	202.65332	559.11456	-12.07369	480.0	1000.0	113999	109.63412	24.425993	198.47006	-66.06851	-111.56532	8.117918	12532.908373832703
58	104.17345	57.67754	174.10559	24.688257	320.04193	165.87251	490.16428	47.750584	300.2	750.2	115999	109.51563	24.648987	194.73546	-63.539757	-111.4108	8.504625	12804.179343223572
59	194.36507	19.342428	214.93442	168.46404	220.28589	311.03714	845.42426	-99.64077	787.6667	451.2	117999	109.2531	24.541845	199.9847	-92.98881	-111.13064	7.8993573	13050.112689495087
60	209.78302	152.9	366.7219	49.23438	253.03891	225.9521	577.8831	5.4439917	549.0	629.0	119999	108.4759	24.59832	215.84305	-109.94311	-110.30581	7.9240932	13306.979321956635
61	270.33496	126.94241	397.27737	143.39255	230.8815	265.68182	776.0864	14.986733	624.0	458.9	121999	108.04119	24.871191	208.04428	-60.782963	-109.8751	8.263883	13551.084011793137
62	335.3806	232.27547	580.2319	23.313894	292.1789	275.24103	732.0109	15.001397	684.0	535.3	123999	107.65454	24.862595	206.17242	-58.331738	-109.47533	7.3035235	13800.075922727585
63	139.4777	145.09105	441.67096	9.527416	705.82556	138.18256	824.2841	322.10144	361.875	1000.0	125999	107.15379	24.6473	203.70682	-64.647705	-108.9475	7.4064703	14099.165572166443
