Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	394.43546	43.3314	452.85126	349.19284	298.3215	267.53915	776.1362	20.196808	641.6667	624.8	51999	21.305237	10.122799	49.334755	-34.99037	21.304903	10.122903	50.24726	-35.007854	-22.86191	3.7075598	5695.453745365143
27	579.89764	96.0124	706.6739	474.39767	479.50665	134.9092	657.3131	141.31653	833.0	912.5	53999	21.69912	10.281977	53.8516	-16.277557	21.699202	10.283588	52.70636	-17.689978	-23.244707	3.7370627	5962.654357671738
28	776.08875	9.946533	786.0353	766.1422	416.39264	306.61313	893.67334	19.586254	1000.0	578.7	55999	22.230587	10.439273	53.343266	-17.374712	22.230722	10.439247	51.734985	-19.741928	-23.718863	3.8210654	6188.2579345703125
29	490.26904	219.55556	762.624	164.3497	437.01773	284.27707	847.5675	59.29056	554.75	734.7	57999	22.79476	10.613441	51.11219	-22.894487	22.795715	10.61285	52.0206	-20.770418	-24.29657	3.8331854	6413.356865167618
30	518.07056	226.90251	744.9731	291.16806	759.79926	282.21667	1118.8967	260.35773	1000.0	835.7	59999	23.478624	10.715391	53.508083	-20.473814	23.478094	10.715602	51.227802	-22.569891	-24.98102	3.830625	6655.017277002335
31	270.5637	143.1644	478.26843	91.635414	645.75696	281.8368	1113.6461	252.63802	274.7143	919.6	61999	24.30956	10.801692	53.51447	-27.84747	24.309128	10.802202	53.02124	-27.537592	-25.810043	4.012293	6904.702052593231
32	628.4726	238.64452	867.1171	389.8281	898.52344	210.81131	1238.7694	560.5373	862.0	907.1	63999	24.970478	11.093601	53.4381	-26.539429	24.970776	11.094306	53.535847	-32.552486	-26.441961	4.2136574	7142.916320800781
33	726.2484	45.810547	772.05896	680.43787	884.1293	216.46004	1088.7073	297.22183	1000.0	1000.0	65999	25.542837	11.355849	55.855057	-19.19424	25.542858	11.357277	55.630085	-23.098392	-27.077486	4.1198797	7407.059911966324
34	993.04517	97.17569	1090.2208	895.86945	915.9481	229.50873	1256.8604	609.58154	1000.0	852.5	67999	26.288515	11.651534	58.1332	-21.246609	26.288458	11.652385	56.37694	-18.55022	-27.838652	4.2683434	7648.418980360031
35	633.1131	123.437645	730.3546	458.94016	529.64075	354.32568	1090.462	89.04354	803.3333	633.0	69999	26.959785	11.963119	57.497196	-19.203657	26.959862	11.96485	56.701305	-20.586498	-28.565142	4.300566	7883.175014972687
36	574.4367	315.68127	955.6574	182.61728	786.9276	310.77124	1222.1569	223.98096	555.6667	784.9	71999	27.85642	12.256734	59.265755	-21.076244	27.856232	12.258305	58.64992	-23.987741	-29.382421	4.603907	8139.202520608902
37	680.005	152.53375	832.53876	527.47125	545.53577	260.87122	922.71857	41.74499	1000.0	753.2	73999	28.479105	12.647636	60.905647	-22.755465	28.47959	12.649103	61.580193	-22.444855	-30.02804	4.5380964	8400.72579050064
38	612.3108	332.64563	964.7258	166.22845	774.1577	272.12292	1106.6996	137.73544	717.0	912.2	75999	29.248312	12.909752	62.36034	-16.340202	29.24836	12.911266	61.296005	-16.723398	-30.784285	4.5693626	8670.928489685059
39	796.76447	19.776672	816.54114	776.9878	706.95886	347.0774	1059.2194	23.816982	852.0	809.6	77999	30.057964	13.252255	62.66902	-18.423752	30.057938	13.253257	61.43138	-17.686337	-31.562113	4.64358	8915.587155342102
40	842.25354	87.82971	930.08325	754.4238	1030.9988	319.02213	1438.1128	506.3455	905.0	893.1	79999	30.894238	13.453048	62.78698	-21.347225	30.89409	13.455459	63.446976	-17.346214	-32.41674	4.670235	9184.939939975739
41	594.3088	43.674683	637.98346	550.6341	720.6754	497.2689	1372.2977	55.577965	1000.0	664.0	81999	31.421167	13.766532	64.39103	-18.082493	31.422094	13.766658	65.04167	-28.490858	-33.009083	4.7266874	9433.401379585266
42	610.1453	305.76852	1007.65466	263.9752	974.47473	292.8602	1341.7837	307.3291	738.6667	894.2	83999	31.95548	14.165557	65.05885	-16.037477	31.955372	14.1666355	65.631874	-18.236797	-33.40095	4.6621494	9689.481405735016
43	918.78125	19.721893	938.5032	899.0594	647.36804	400.7369	1374.4429	156.12975	1000.0	640.7	85999	32.604744	14.566143	70.11776	-23.887285	32.605354	14.565885	68.234886	-16.706749	-34.062645	4.8042593	9907.546698331833
44	662.1827	295.84573	879.89825	243.91095	634.45306	415.83432	1344.9105	26.564346	732.6667	655.9	87999	33.239433	14.925782	68.785706	-18.365322	33.239506	14.926336	68.75979	-18.338366	-34.773117	4.8553815	10159.622101783752
45	930.0458	152.77026	1082.816	777.2755	802.04425	353.2281	1189.7394	50.163853	1000.0	787.2	89999	33.800842	15.3456	70.21147	-20.147835	33.800854	15.347482	71.32581	-21.50523	-35.305428	4.9595623	10425.161492586136
46	1230.7866	184.60895	1415.3955	1046.1776	754.19025	318.50018	1317.2694	183.07019	1000.0	728.8	91999	34.599983	15.755394	72.373215	-17.569647	34.59987	15.756699	70.59828	-19.79271	-36.087154	5.0640073	10679.148645401001
47	785.1773	456.77255	1345.8501	226.9987	810.8239	469.53644	1480.217	-25.888254	719.3333	790.3	93999	35.421535	16.190304	72.36206	-18.510235	35.42099	16.192492	73.27706	-22.07137	-36.8959	5.072064	10931.106007099152
48	741.73303	114.60635	856.33936	627.12665	941.66736	452.16974	1599.992	53.443336	710.5	722.2	95999	36.180714	16.572521	73.78911	-18.71799	36.18131	16.57224	74.13593	-19.671898	-37.69975	5.338593	11184.508455753326
49	478.17398	567.34863	1500.849	25.475363	1372.1617	247.43465	1560.4136	722.21	424.2	925.9	97999	37.011806	17.035364	75.43122	-22.119312	37.011883	17.033955	74.53442	-28.61724	-38.492702	5.651902	11461.135183095932
50	976.0552	291.97037	1304.4016	595.06055	1011.4528	431.65314	1513.9333	16.185863	856.6667	902.0	99999	37.677162	17.512844	76.98182	-21.676268	37.67699	17.51533	75.64275	-26.202187	-39.11343	5.6645265	11735.997641324997
51	1367.9614	30.16571	1398.1271	1337.7957	1022.4879	313.47452	1588.2369	406.96387	1000.0	899.0	101999	38.604042	18.107334	77.55767	-30.115158	38.60316	18.10922	76.524796	-30.803892	-40.1057	5.820738	12006.279478311539
52	689.1374	311.25427	1071.6519	309.25128	798.48865	423.2107	1608.4226	110.41959	655.3333	919.8	103999	39.559105	18.53192	80.12743	-27.436375	39.558537	18.534105	78.62703	-30.91396	-41.092342	6.047158	12283.369465589523
53	912.9363	238.04773	1150.984	674.88855	1231.974	270.448	1517.4954	801.2168	1000.0	1000.0	105999	40.304432	18.93315	80.07911	-26.130009	40.30403	18.93414	78.988976	-27.245071	-41.82879	6.1376305	12567.165328025818
54	1383.8303	83.21765	1467.048	1300.6127	880.7339	534.33563	1519.3242	-510.07993	1000.0	1000.0	107999	41.211082	19.394785	82.69404	-24.891527	41.210655	19.397333	81.159386	-23.08545	-42.657356	6.0287733	12850.937300920486
55	817.2199	595.5252	1436.2059	13.138556	1125.6444	523.2848	1762.405	24.998701	671.0	819.4	109999	42.15261	19.773474	81.38907	-23.263317	42.15164	19.773817	82.04621	-23.117609	-43.7632	6.220874	13119.969812631607
56	1306.7899	296.9391	1603.729	1009.8508	805.30115	404.3297	1338.595	-115.238625	1000.0	918.1	111999	42.855915	20.25064	82.46491	-19.581432	42.855534	20.251486	84.31169	-21.216007	-44.422867	6.3344393	13393.774590730667
57	912.5509	20.074799	932.62573	892.47614	794.0118	579.475	1702.009	81.71203	798.5	719.6	113999	43.662155	20.735271	84.3419	-21.41811	43.66186	20.737738	84.43035	-23.91579	-45.218647	6.405666	13652.266521453857
58	516.74585	360.47586	1026.1954	245.89209	1052.3044	408.18307	1814.5767	369.626	717.6667	937.6	115999	44.209755	21.365072	85.529724	-21.940285	44.20928	21.365442	85.63339	-18.419567	-45.814663	6.6995263	13925.67455816269
59	1042.2377	301.26236	1343.5	740.9753	1136.7463	489.71365	1669.6227	145.55836	1000.0	847.2	117999	44.752045	21.867188	86.76097	-21.177061	44.75106	21.868021	86.39227	-21.550694	-46.358723	6.6556683	14194.782758951187
60	721.5007	198.6181	928.88934	453.7448	902.6001	481.23154	1676.9977	95.558205	755.6667	780.2	119999	45.261524	22.35035	88.201126	-25.782743	45.260063	22.354633	88.20163	-23.08446	-46.99431	6.864437	14435.201801300049
61	440.84286	335.6241	1007.9105	101.38967	755.3837	426.2268	1569.9763	112.29771	392.6	700.8	121999	45.93591	22.840456	91.142586	-20.857601	45.93567	22.84114	88.53251	-23.877792	-47.605637	6.9183674	14659.406546115875
