Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
30	122.13395	37.724426	213.99846	76.92489	25.101265	57.525806	29.915459	92.93745	-8.470088	62000	0.022298047	574.8542	-0.007525631	-273.1076	0.91877323	5.722046e-09	1293.964534521103
31	121.242386	37.311375	251.80934	77.044945	25.0	62.31446	30.335058	94.37244	1.6336632	64000	-0.08986985	577.95355	-0.007386811	-282.49002	0.9187408	-1.2874604e-08	1334.789068222046
32	126.66757	40.65654	254.34776	72.31393	25.961039	60.825844	30.911537	95.718185	-37.964798	66000	-0.05516383	681.33813	-0.007332653	-313.86783	0.918711	0.0	1375.6034376621246
33	130.18225	41.77519	243.81633	81.567665	26.6	63.058155	31.739956	97.35788	-15.070402	68000	-0.08020199	698.9456	-0.0074996054	-324.6935	0.9186738	5.531311e-08	1417.3769762516022
34	132.79556	49.03246	303.37036	76.873	26.95946	65.313866	32.133442	99.195335	-5.069454	70000	0.033913475	916.0613	-0.009176295	-364.3548	0.9186329	1.7166137e-08	1460.3371231555939
35	133.0832	46.696037	321.00586	77.08599	27.369864	65.9002	32.87247	101.613495	-18.207842	72000	0.059520327	884.5855	-0.007848728	-366.36108	0.9186015	0.0	1503.1240334510803
36	139.30428	43.958645	301.13983	81.54429	28.3	66.62917	33.871166	103.773926	-1.1237917	74000	0.054471355	845.1386	-0.0062960386	-389.87683	0.9185743	2.6702882e-08	1545.713206768036
37	140.5345	43.52929	273.48102	77.12017	28.514286	69.12793	33.715603	105.95702	2.964601	76000	0.016137673	777.13104	-0.007066747	-411.0467	0.91855896	-4.7683715e-09	1588.3095490932465
38	134.18124	47.561077	276.34747	81.55515	27.369864	68.240005	36.026005	107.847275	-6.861958	78000	0.024854314	789.00006	-0.0073586907	-349.2695	0.91855127	1.66893e-08	1630.3230550289154
39	145.0095	50.367867	286.14893	81.45825	29.367647	70.13523	35.409782	109.31461	2.3040648	80000	-0.10994954	907.7957	-0.0055759177	-380.0567	0.9185413	-4.768372e-10	1671.5173389911652
40	144.2899	38.10793	248.90247	81.437744	29.338236	70.40275	35.614243	111.54136	-1.907235	82000	-0.09275093	586.2328	-0.007110201	-330.93893	0.9185208	3.051758e-08	1713.2291719913483
41	157.5785	56.71624	332.09555	81.55519	32.048386	73.292656	35.60452	112.80663	-18.514763	84000	-0.13691585	1100.9454	-0.006881818	-468.98987	0.9184928	-1.9073487e-09	1757.0553064346313
42	147.68558	49.22927	282.18845	81.84921	29.939394	75.40555	38.398834	116.09829	-10.427673	86000	-0.06263361	870.5945	-0.007970214	-434.29608	0.91845334	9.059906e-09	1798.6609840393066
