Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	98.43393	24.46364	197.7083	72.01977	20.27551	-0.05483256	0.27000076	0.6744094	-0.71318525	2000	-5.9604645e-08	3501.6128	-0.06607608	-871.9536	0.9189439	0.016709954	0.311	3.0	30.925953149795532
1	98.12195	24.517899	196.50655	72.09702	20.131313	9.459066	0.022926427	9.464532	8.768855	4000	-1.001358e-07	2624.8772	-0.054232765	-418.85938	0.918597	0.022068214	0.233	4.0	62.2612087726593
2	98.68128	20.544596	161.5685	72.104996	20.316326	14.925725	0.008690513	14.926922	14.628668	6000	1.4722347e-08	2082.652	-0.06020205	-312.3241	0.918568	0.019653277	0.3585	6.0	92.85960674285889
3	99.3511	25.567913	213.38663	76.72211	20.295918	19.687572	0.01011714	19.688484	19.399935	8000	-8.6188315e-08	1983.483	-0.046610277	-264.00037	0.9184226	0.017928837	0.244	5.0	122.97346782684326
4	105.263535	30.82589	218.81477	76.4562	21.608696	24.142824	0.19843452	24.14928	15.36398	10000	7.927418e-09	2098.8643	-0.044258732	-254.58533	0.9180553	0.017444747	0.258	5.0	151.29734086990356
5	104.07174	25.691183	190.0021	76.75841	21.268818	28.589785	0.19913715	28.59538	19.839975	12000	-7.927418e-08	1646.4777	-0.04455876	-181.52661	0.91775817	0.020658726	0.2075	5.0	179.63297653198242
6	106.90751	25.643406	182.378	76.7945	21.945055	32.473186	0.010120743	32.473804	32.120224	14000	7.528067e-08	1516.7444	-0.054804616	-145.92773	0.9176702	0.015978834	0.2785	6.0	207.9916033744812
7	104.973694	24.97414	192.56985	72.13898	21.505377	36.02042	0.1322873	36.027687	32.110764	16000	5.4597855e-08	1318.1707	-0.060106475	-207.3518	0.91772944	0.018096713	0.344	7.0	231.50191164016724
8	117.61599	31.16923	208.39966	76.94448	24.012049	35.072563	7.36196	39.267693	-8.056555	18000	-6.017089e-08	1641.2776	-0.053165898	-310.02307	0.9176366	0.018020855	0.2835	6.0	258.27970838546753
9	110.256744	30.794565	213.1296	72.18363	22.426966	37.60983	10.845333	43.784695	-3.023891	20000	-9.125471e-08	1184.8313	-0.061120346	-188.20898	0.9174547	0.018279852	0.3595	7.0	302.79598903656006
