Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	17.992912	12.730619	71.22403	5.3960476	46.162045	0.94180286	47.206284	45.09622	22.088888	27.5	1999	3.53434	1.9358143	13.406726	-2.08255	3.5344706	1.9342468	13.172039	-1.7608527	-1.4572898	1.1076512	5.304249	-7.4574466	-4.0610905	0.2702811	161.17728543281555
2	19.744799	19.089205	123.68927	4.4751754	139.96732	2.828476	143.22903	135.37149	23.714285	69.2	3999	12.854973	6.5579453	41.737495	-9.115417	12.854728	6.549458	42.199707	-9.785594	0.24138694	1.9111145	14.5412655	-10.937841	-14.353758	1.8126593	553.2003128528595
3	20.766209	22.137024	136.11049	4.5146976	14.767424	0.57262325	15.282313	13.832617	22.84091	15.7	5999	31.377115	12.444616	98.28209	-56.20691	31.376392	12.440893	101.750946	-48.9249	1.522141	2.2003787	16.063396	-13.581888	-34.521774	8.740663	960.4104397296906
4	21.72511	20.61767	132.19658	5.441108	216.41101	1.2879725	218.93427	214.07582	23.975904	92.9	7999	57.44481	19.239372	128.45192	-58.11563	57.444023	19.25381	128.87257	-49.499565	2.4287004	2.364877	20.210003	-10.472929	-62.45804	22.464218	1376.1454071998596
5	18.212433	15.940511	87.786995	5.083663	66.40224	0.33728355	67.181694	66.03486	22.761364	37.0	9999	77.74727	23.377998	152.78362	-103.65324	77.74614	23.39763	154.7326	-84.21303	2.3360295	2.6588647	21.72056	-13.7318325	-83.12656	36.763023	1789.7849259376526
6	138.24976	87.04592	321.36334	13.753883	207.20686	1.1923206	208.85379	205.41086	66.666664	90.5	11999	95.0529	27.808714	179.99161	-84.43849	95.05008	27.844063	181.4821	-77.32128	2.1148067	2.9103928	21.368256	-11.391926	-100.520294	72.29293	2218.166538953781
7	242.30078	53.95488	295.60123	39.891342	217.5378	1.124627	218.72383	216.23775	105.89474	100.5	13999	114.49759	33.095318	203.35161	-72.189125	114.49553	33.154125	206.22447	-64.150215	2.2385333	2.825036	20.99347	-11.466396	-120.07029	83.73175	2645.777590751648
8	244.47934	54.495472	297.03244	45.220715	292.83804	4.1669064	297.71378	285.43964	103.31579	118.3	15999	132.91905	38.662113	209.71202	-91.506775	132.91866	38.70773	213.69142	-53.262978	2.0504296	2.6836457	22.576458	-11.277421	-138.26405	78.775734	3067.8165004253387
9	295.14923	20.739424	319.2954	227.41827	244.1381	1.117316	246.2417	242.88876	123.5	105.3	17999	143.62604	43.82729	212.84393	-147.5843	143.62341	43.878857	214.09964	-108.72205	1.9234009	2.767869	23.682154	-12.827976	-148.76366	72.42927	3491.457304239273
10	271.3794	17.594599	303.67926	222.42317	295.78488	1.413828	297.96054	293.0641	114.94118	119.2	19999	152.13354	46.213615	216.74185	-106.985886	152.1286	46.246433	219.15094	-61.06144	1.8358765	2.8676453	25.890282	-13.728559	-156.8722	71.33958	3878.1710209846497
11	308.75385	57.01792	355.88818	157.67033	280.2082	2.7751987	287.31558	277.00754	124.05882	117.5	21999	156.74648	49.59668	225.82584	-237.50517	156.74518	49.618015	225.2695	-107.06689	1.805397	2.8899798	25.590511	-12.044993	-161.3539	72.85545	4264.758801937103
12	309.7045	14.140172	338.61722	280.06125	349.6396	1.5262733	351.95108	347.30667	129.13333	136.7	23999	159.5794	52.383724	224.77563	-92.79274	159.57825	52.40453	227.5309	-106.24663	1.8530358	2.8677025	28.252161	-11.135126	-163.97672	66.62552	4620.321211576462
13	335.90057	14.814065	359.38077	303.3457	377.2278	8.190192	385.40378	362.74454	134.2	148.1	25999	161.00084	55.181583	224.03	-97.843864	160.999	55.191803	223.26553	-84.442825	1.7312183	2.8389616	26.411863	-10.672812	-165.09381	60.663868	4965.528323173523
14	349.3656	34.33496	402.8776	276.9807	407.222	1.296833	408.74838	404.8634	136.2	140.7	27999	161.34995	57.491673	223.36136	-98.99937	161.3485	57.50344	222.25983	-75.72784	1.6432284	2.805411	26.167986	-12.549076	-165.11185	55.10649	5309.909807920456
