Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	9.139462	3.299304	24.849146	4.7387543	12.794871	-0.29222587	0.05647927	-0.14068255	-0.443559	2000	0.011352528	34.521362	-0.010944838	-27.816114	0.9189396	1.7881393e-09	19.15040373802185
1	9.574152	2.8342702	18.225103	4.2815423	12.961039	4.002649	1.9602622	6.7682652	-1.0852914	4000	-0.020511594	5.474495	-0.016888715	-1.7192795	0.91883856	-5.364418e-10	39.6261420249939
2	10.750373	4.409361	28.774899	4.9372225	14.070422	4.7264333	2.633991	8.822064	-0.55882883	6000	-0.016558519	9.582579	-0.017194701	-1.6994476	0.91874397	-2.6226044e-09	59.93651461601257
3	10.646541	4.0677323	29.003622	4.9605975	13.826389	5.275081	3.2230124	10.460821	-2.412871	8000	0.0041538505	6.5277295	-0.020576458	-0.4582858	0.9186451	-1.6689301e-09	80.38604211807251
4	12.486688	6.262715	42.163834	4.4913163	15.2213745	5.8459716	3.303163	11.041758	-1.2797418	10000	-0.032921962	17.301794	-0.018610485	-2.1020746	0.9185677	-7.1525574e-10	100.19432973861694
5	13.408494	6.9601693	58.57163	4.2346087	16.438017	6.608243	4.1273327	13.423261	-4.841334	12000	-0.006189963	23.634184	-0.016609035	-1.4006367	0.9184635	-6.8545343e-09	119.59804940223694
6	15.327679	15.014685	138.86078	5.1529293	17.610619	7.6251493	4.464403	14.683667	-2.378054	14000	-0.06351907	176.79843	-0.011701897	-34.84926	0.9183845	-7.1525574e-10	138.25822257995605
7	17.087673	11.587553	73.390656	5.4225793	19.529411	9.3446	6.826525	25.45465	-12.188968	16000	0.0068707233	70.923416	-0.014674379	-11.437801	0.91825926	3.8146974e-09	156.89827156066895
8	21.113008	13.956242	106.20961	6.509608	21.714285	11.417941	6.244798	27.00325	-8.147352	18000	-0.029102426	84.27063	-0.0143530145	-14.269951	0.9181641	7.1525574e-10	175.08598685264587
9	24.09722	18.380472	108.18398	6.94289	23.517647	12.988184	8.069989	32.43877	-2.529375	20000	-0.03859871	140.31018	-0.01386315	-15.229538	0.91805273	1.192093e-10	193.7421169281006
