Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	350.10162	39.218018	394.90863	224.93417	148.23077	112.1011	39.888527	146.1145	-2.2648473	58000	5.543232e-09	658.3347	-0.022115115	-272.6426	0.8984104	0.008022458	0.146	79.0	226.31412363052368
29	366.1934	34.55724	419.22217	288.92346	151.76923	121.948204	40.43588	150.98158	-0.59610367	60000	-1.8671155e-08	467.28296	-0.02550325	-176.95038	0.8834362	0.011136812	0.125	79.0	234.35153341293335
30	393.92334	67.447365	591.03796	324.73938	159.66667	125.93263	41.380394	156.22379	-1.5997362	62000	-6.2584876e-10	671.6303	-0.026003556	-270.76392	0.87279576	0.01243728	0.1255	79.0	242.73431205749512
31	397.74973	27.54062	459.15704	344.92468	150.3077	130.22897	45.93803	162.83421	2.5742254	64000	4.0322544e-08	466.3369	-0.025415732	-192.10962	0.8677927	0.012398476	0.148	79.0	251.09873723983765
32	401.82864	96.24269	658.8426	178.94421	151.61539	139.82759	46.199123	169.28186	-0.5458679	66000	1.9744038e-09	1001.30554	-0.008279038	-140.867	0.87282634	0.018368794	0.207	4.0	258.29468154907227
33	371.35507	82.78914	434.14194	177.69403	141.92857	146.53503	45.9353	174.30214	-5.7405195	68000	7.0314856e-09	1593.0464	-0.0038544475	-373.0398	0.87310785	0.017460955	0.176	5.0	265.5716059207916
34	458.56033	82.27234	671.8038	383.95944	171.63637	138.7825	44.98376	174.50345	3.6151872	70000	-9.864569e-09	917.4364	-0.013510539	-487.20715	0.87339145	0.015508265	0.1555	13.0	272.86761379241943
35	412.8999	23.286018	475.21136	386.85934	150.61539	146.53023	51.977936	181.27739	0.93441033	72000	6.8694352e-09	195.91121	-0.005587341	-68.25557	0.87202805	0.016789842	0.1365	4.0	280.01813101768494
36	413.29883	63.725136	485.53784	209.29973	152.76923	148.83066	51.5179	185.19707	-4.732001	74000	-8.370727e-09	570.07086	-0.011263572	-74.519714	0.87141514	0.020184984	0.23	3.0	287.14352893829346
37	410.73666	86.979256	600.6584	217.5076	148.3077	151.34727	48.587036	187.15709	2.5286396	76000	4.068017e-09	1471.8201	-0.0019368307	-528.2577	0.87118936	0.016198846	0.2365	4.0	294.14641547203064
38	409.32718	116.237434	628.86053	111.507126	149.92308	155.30035	47.562836	187.44266	-3.6549046	78000	5.9660525e-09	2164.7175	-0.008247034	-881.33484	0.87093264	0.015767777	0.1515	5.0	301.474671125412
39	354.761	103.0522	447.15955	119.38236	130.21428	152.01189	49.413784	188.48538	-8.420636	80000	4.2021275e-09	1650.355	-0.015858307	-772.69916	0.8706345	0.015171348	0.163	19.0	308.85564255714417
40	648.6467	202.81252	969.53076	373.1273	216.22223	148.9039	46.88526	189.69485	-0.2135694	82000	-2.6077032e-08	5556.5874	-0.009516705	-3891.97	0.8693558	0.015091409	0.116	9.0	316.0667300224304
41	484.1675	149.3365	754.197	216.73842	164.83333	173.619	55.2223	204.39198	-0.3625772	84000	1.9138678e-08	1542.1976	-0.008069417	-383.30847	0.86759645	0.019588634	0.1845	5.0	323.2542259693146
