Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-54.516865	52.304516	-2.9417918	-230.37054	81.083336	-0.031051006	0.15741749	0.43126887	-0.42680722	2000	8.46386e-09	1372.4357	-0.025429862	-421.68787	0.9189432	0.015139862	0.264	8.0	37.61695337295532
1	-188.4239	262.3628	0.007939856	-640.1763	300.25	-8.949114	0.6296566	-0.49748877	-9.483722	4000	-1.7935038e-07	2144.943	-0.02409821	-614.6454	0.9174696	0.016347487	0.2945	11.0	74.56947660446167
2	-233.7712	244.6827	-18.65232	-576.05884	386.66666	-17.02298	0.06475374	-16.098507	-17.062113	6000	-1.8835069e-08	1631.9878	-0.019415207	-407.5747	0.9149433	0.016767986	0.184	9.0	110.72122168540955
3	-103.44218	152.16315	0.01805028	-536.0119	174.5	-22.99678	0.037656836	-22.418003	-23.0109	8000	2.077222e-08	664.74225	-0.017474571	-112.788025	0.9122299	0.016965229	0.177	11.0	146.3734781742096
4	-64.855736	60.998833	-9.271847	-222.29219	100.916664	-26.328905	0.036431845	-25.73516	-26.341228	10000	1.3113022e-09	659.8154	-0.024577266	-66.87952	0.90915674	0.015072973	0.261	12.0	180.70077753067017
5	-70.301155	128.41138	-2.1488323	-559.3144	117.8125	-28.947788	0.043757487	-28.230747	-28.960014	12000	-3.6284327e-09	508.6896	-0.020705834	-32.82538	0.9065736	0.015429819	0.2835	12.0	214.73339653015137
6	-34.793343	47.64648	5.8571367	-178.1899	68.44	-30.464848	2.547244	28.977358	-30.726574	14000	2.5063754e-08	578.19293	-0.020220054	-128.02771	0.90500814	0.016213993	0.2135	10.0	248.0563187599182
7	-93.91279	133.23897	5.669979	-485.66568	181.09091	-21.454393	7.644885	28.576075	-29.531487	16000	3.784895e-09	659.6653	-0.021558125	-258.2887	0.90380687	0.0166479	0.1875	9.0	281.3537063598633
8	-69.407845	151.71562	16.847034	-564.2184	137.33333	-29.651554	6.41252	29.750029	-31.392632	18000	-3.40268e-08	552.77985	-0.020961346	-85.95587	0.90276086	0.015270647	0.2825	10.0	315.59339356422424
9	-104.80098	154.44038	-11.699222	-557.5406	198.8	-27.247667	12.032653	30.655132	-33.837452	20000	1.7940998e-08	444.32693	-0.019826846	-109.41885	0.9013967	0.017298324	0.1815	9.0	349.4533176422119
10	-122.28651	172.74872	-20.719902	-540.21234	220.28572	-32.036404	8.861742	15.961555	-35.840122	22000	-1.8775463e-09	371.23352	-0.025150487	-81.695496	0.90004325	0.015687117	0.2395	11.0	383.9729907512665
11	-97.05225	159.03458	-3.1362414	-451.70026	218.5	-36.79898	4.868571	-6.149808	-38.548378	24000	8.307397e-09	383.9896	-0.022239445	-151.30602	0.89750904	0.01569808	0.2735	14.0	419.8490345478058
12	-83.936104	156.21306	-4.9017367	-549.35205	165.3	-29.60052	17.019333	27.804493	-41.69804	26000	-2.682209e-10	530.77374	-0.022458257	-197.50366	0.89343965	0.017799016	0.2205	9.0	454.88103461265564
13	-57.54586	107.82288	4.63046	-467.54224	120.375	-35.127296	13.946484	24.528711	-44.343575	28000	2.220273e-09	256.48886	-0.016366199	-104.968475	0.8910143	0.015778469	0.2215	9.0	489.88160514831543
14	-126.39244	197.29532	1.2589436	-467.79657	295.5	-39.346188	9.434919	-2.849031	-44.73397	30000	-2.628565e-08	248.66083	-0.022009585	-111.68088	0.88911873	0.016021952	0.2305	10.0	524.897488117218
15	-58.93373	99.10095	0.7447971	-432.65576	117.117645	-35.29694	13.036241	13.810772	-45.639004	32000	-7.212162e-09	355.8164	-0.022984562	-137.77306	0.8867481	0.015252652	0.288	13.0	559.6133055686951
16	-35.15962	30.807959	7.565918	-100.2487	63.12	-28.587507	10.610243	-9.722288	-45.428684	34000	1.680106e-08	342.82983	-0.02282654	-101.35271	0.8841248	0.015481813	0.2565	14.0	594.7372889518738
