Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	60.317547	37.644787	168.17361	21.174402	226.76006	176.9384	692.6464	86.205894	82.5	250.5	63999	856.52386	284.61505	1188.545	-753.4463	-877.59576	1303.954	6844.960751533508
33	138.01654	109.14841	337.62622	33.19654	809.6317	10.669168	825.3704	795.5665	158.22223	1000.0	65999	848.2	271.40237	1157.2605	-690.00684	-868.87036	1229.9921	7145.476646184921
34	192.65302	214.31435	797.5803	40.67162	119.96428	39.69187	167.98207	58.550507	253.6	166.3	67999	846.3631	260.69882	1165.8041	-548.37836	-866.66693	1225.3055	7425.072494268417
35	149.89041	106.70625	329.39984	7.8864217	225.5267	194.25359	726.24677	100.67064	162.75	148.4	69999	841.49133	251.143	1129.1102	-570.22705	-860.22534	1163.9039	7708.4572541713715
36	323.67123	185.45981	787.3181	116.49935	388.88126	133.21109	562.5407	254.5754	170.58333	153.0	71999	826.1652	239.2256	1117.4482	-535.0236	-843.9073	1174.2507	8031.101767778397
37	268.69498	159.46855	547.2903	39.6182	396.09183	281.3933	995.52045	167.92021	146.58333	296.8	73999	805.0236	233.4245	1074.124	-751.97864	-821.67236	1088.066	8376.103093147278
38	497.30634	142.5298	672.3386	282.62204	489.42276	267.90546	1215.7725	217.67142	316.85715	269.1	75999	788.5146	231.39201	1034.0106	-515.046	-805.1113	1095.4751	8716.834236383438
39	445.68924	249.39928	996.79407	284.5807	1045.3665	15.027722	1070.7513	1025.4745	338.0	1000.0	77999	772.345	227.40437	1021.8728	-737.5675	-787.8922	1048.9028	9113.405192375183
40	407.0262	315.9373	1031.9792	106.89049	831.96954	289.7753	1022.89594	358.7959	271.33334	750.8	79999	760.0277	227.09198	1010.3587	-619.1989	-775.5482	1053.5002	9496.675350666046
41	424.9071	247.57092	1139.7205	164.53787	420.1295	71.28832	601.3355	322.60126	219.27272	164.5	81999	748.2063	230.37666	1009.3244	-580.9814	-763.2769	898.66223	9820.969206571579
42	277.0772	117.939285	593.2639	138.77306	165.1713	39.855934	282.46994	143.68605	130.2	99.8	83999	738.8863	230.63281	978.7297	-955.38293	-753.7284	912.9685	10154.984878778458
43	198.24103	114.67436	428.02325	50.44594	164.77095	74.23113	382.03827	116.67887	100.85	90.3	85999	721.3231	231.64793	947.3569	-1021.79034	-735.06415	818.2934	10504.63566827774
44	252.64143	163.78491	762.9405	137.1567	264.362	109.65858	537.14685	196.84607	158.0	148.0	87999	701.5116	229.34547	956.3862	-740.43964	-715.065	795.7217	10847.793558120728
45	629.78625	290.68185	1044.1482	319.5161	501.23785	376.72952	1149.998	47.494392	390.4	413.5	89999	687.269	223.2727	937.8319	-796.20245	-700.57574	712.9843	11218.512610197067
46	322.1491	285.41232	1012.97217	22.526142	567.23145	330.8494	1154.5392	278.6177	163.6	464.4	91999	673.2879	218.43718	924.1295	-517.4726	-686.33185	702.7579	11601.902929782867
47	569.6984	289.36575	1113.6788	276.9965	246.08752	448.624	1222.4552	21.771988	379.83334	216.3	93999	661.36487	212.98518	912.8308	-1049.4437	-674.0484	665.52386	11961.725730657578
48	1020.3993	85.673065	1106.0724	934.72626	17.231293	0.66995686	18.56719	16.776403	852.0	17.2	95999	652.7273	209.65263	890.06476	-553.8509	-665.1102	630.0246	12304.311252117157
49	425.23352	234.58536	1012.80994	201.09177	397.0263	172.11082	814.9039	204.7119	210.33333	243.6	97999	643.9309	207.39954	868.2712	-870.66846	-656.3561	669.7079	12670.996306657791
