Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	60.297462	2.3012984	62.34494	57.04255	58.150646	2.1556118	61.531956	56.59497	12.632912	12.3	63999	32.966114	16.838356	80.08982	-3.3563628	-32.570713	0.73006153	12899.825963258743
33	60.310806	2.3118312	62.33438	57.002094	60.524292	1.9626874	61.688942	56.552742	12.635221	12.8	65999	32.847687	16.809956	74.07978	-0.49248284	-32.453674	0.7163185	13489.550725221634
34	60.11228	2.345383	62.3399	57.05975	59.11329	2.3489053	61.575615	56.685524	12.594936	12.5	67999	32.64577	16.673107	74.10819	-1.912318	-32.26686	0.69048744	14132.105251312256
35	60.163803	2.3565602	62.31455	57.035645	59.078453	2.4232275	61.735386	56.574963	12.603773	12.5	69999	32.681774	16.64941	74.713615	0.7050688	-32.300896	0.690738	14765.219941616058
36	60.41531	2.2662413	62.318108	57.05342	58.202484	2.1906683	61.67528	56.643124	12.658228	12.3	71999	32.60434	16.623257	74.666695	-3.8126729	-32.225574	0.6964857	15402.43674659729
37	60.483707	2.2557428	62.32451	57.05177	59.534668	2.2837949	61.5264	56.66179	12.670886	12.6	73999	32.462215	16.555172	74.4333	-1.504658	-32.08851	0.66893834	16061.701371908188
38	60.017197	2.3630395	62.293335	57.046185	59.522926	2.2988632	61.51891	56.565197	12.572327	12.6	75999	32.371986	16.517973	77.58601	-3.885445	-32.002014	0.68553156	16734.38525056839
39	60.01436	2.3697076	62.37051	57.04521	58.686974	2.346375	61.685097	56.703533	12.572327	12.4	77999	32.221973	16.441362	71.36256	-0.40427488	-31.853977	0.64816356	17423.254534482956
40	60.515205	2.2311325	62.386063	57.08816	58.600777	2.2548492	61.58942	56.6037	12.677216	12.4	79999	32.211964	16.435337	72.37126	-1.9250727	-31.854969	0.66510385	18114.222954034805
41	60.190086	2.3106756	62.3083	57.10302	59.076527	2.3652103	61.546997	56.604126	12.610063	12.5	81999	32.0817	16.409048	72.13269	-2.271546	-31.720903	0.6496898	18812.3596432209
42	60.19236	2.341716	62.3735	57.02925	59.140343	2.4076068	61.599743	56.565002	12.6075945	12.5	83999	32.040535	16.366201	72.65735	-2.1105967	-31.691692	0.63650036	19513.955854177475
43	60.400143	2.2709422	62.297474	57.129303	59.646374	2.2559605	61.579746	56.81137	12.651898	12.6	85999	32.04333	16.350872	71.50532	-1.317764	-31.691496	0.6318276	20217.968677282333
44	60.35746	2.294105	62.339176	57.03433	58.164085	2.1197789	61.473263	56.62547	12.64557	12.3	87999	32.048126	16.340714	72.50769	-2.0515742	-31.702457	0.63601106	20930.892117738724
