Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-80.58706	119.25335	-3.120498	-388.74994	523.7125	16.515165	536.77826	478.32388	196.125	1000.0	1999	1.9147179	1.5673704	10.166062	-4.4206567	1.9135244	1.5671912	10.426788	-4.2844114	-5.094226	0.9292167	2.1401205	-11.098239	-2.9980652	0.3875324	217.57792973518372
2	-102.78849	146.12935	14.7107	-345.54193	256.30893	59.709568	355.43494	114.638954	342.57144	1000.0	3999	7.2520356	3.5421114	26.25633	-5.0431366	7.2512827	3.543397	26.723654	-4.7533646	-3.8968291	1.7772968	7.4840684	-13.479267	-8.505334	0.96320415	696.2088339328766
3	-49.779037	99.75986	-3.662836	-392.40295	226.95364	78.704445	310.03073	66.66292	137.23077	1000.0	5999	15.40388	4.289681	39.522564	-5.3475914	15.404457	4.290608	41.037785	-6.1978884	-2.9089205	2.2728887	12.156082	-15.572776	-16.836136	2.1397538	1218.7298753261566
4	-52.408432	99.12479	15.537249	-383.76968	215.3284	167.91092	451.21106	-9.456051	124.07692	803.7	7999	24.024498	5.1561	52.078438	-4.827076	24.024494	5.1520367	53.365803	-5.1700926	-2.0669143	2.6222627	15.219147	-15.777521	-25.61059	3.8046265	1711.1730370521545
5	-96.29053	142.46466	0.52636015	-415.85464	-37.72011	159.14026	121.015854	-288.6512	261.9	1000.0	9999	32.92423	6.0345035	64.11422	-7.7481837	32.923786	6.0295568	64.718285	-5.8136196	-1.2696699	2.9708524	17.461185	-14.178337	-34.704094	5.248416	2227.6822674274445
6	-41.094627	67.80139	43.84923	-218.21777	623.71234	221.17238	789.8214	22.057701	106.63636	913.1	11999	40.1631	6.1238804	66.4679	-32.794144	40.162483	6.1152716	68.98359	-23.309866	-1.9095321	2.7367928	20.42547	-14.453111	-41.47894	8.095146	2737.504040002823
7	-170.26494	198.5581	9.183448	-516.73926	814.93005	17.73131	839.7664	787.7839	490.2	1000.0	13999	41.516666	5.889069	72.9721	-21.587673	41.51707	5.88704	72.85733	-15.074739	-2.7130153	2.298896	15.01726	-14.084732	-42.483444	6.383786	3252.3958003520966
8	-81.71092	68.91899	-16.169872	-187.86891	717.21765	15.253306	741.105	692.21265	592.75	1000.0	15999	41.402527	5.867071	74.31568	-17.997087	41.40257	5.867884	75.24299	-38.883297	-2.9203753	2.1859093	18.30067	-14.262645	-42.261127	5.6249757	3760.235183238983
9	-24.973196	47.35965	21.625542	-110.348694	895.3097	36.327038	954.54626	807.34985	288.7143	1000.0	17999	41.224403	5.967731	76.49032	-20.714539	41.22405	5.9667754	76.97904	-22.273817	-2.9952521	2.1016471	19.656145	-15.556489	-42.019547	5.5725656	4225.315496444702
10	13.481397	82.31562	95.11539	-140.36902	753.33966	32.360466	813.5707	720.50824	387.6	1000.0	19999	40.85416	6.228233	76.1185	-18.924732	40.85433	6.2338343	75.86007	-21.940426	-2.9789994	2.082327	17.952492	-15.536355	-41.58948	6.205063	4683.978042840958
