Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-39.86732	101.26681	13.530542	-464.07065	97.57895	-26.13377	14.633176	9.891946	-43.999157	56000	2.2500752e-09	222.57967	-0.01820987	-86.68477	0.854883	0.01816734	0.247	8.0	169.9817636013031
28	-59.750835	99.96432	1.6898915	-349.35992	174.4	-25.69674	16.559698	24.873095	-45.169846	58000	-3.196299e-09	210.96545	-0.021249518	-110.33991	0.8529605	0.017529098	0.2265	9.0	179.72342824935913
29	-96.88866	121.467255	-6.61138	-372.52646	189.0	-26.629446	14.050852	22.315897	-44.87118	60000	-1.4126301e-08	675.03394	-0.014396598	-280.58148	0.85070646	0.016573938	0.145	6.0	189.4015929698944
30	-19.6413	24.447737	18.003178	-87.30564	62.307693	-27.465761	10.380535	29.891703	-44.88378	62000	1.9103288e-08	423.28012	-0.01886224	-273.40643	0.8495954	0.015875557	0.2585	8.0	199.3597412109375
31	-51.68748	100.827255	16.169376	-403.0499	132.71428	-20.564672	11.501072	11.996264	-43.997677	64000	2.783537e-08	331.8305	-0.019847695	-169.18591	0.84798425	0.015857713	0.1955	8.0	209.33149600028992
32	-44.26926	102.35806	45.29216	-437.30423	115.76471	-26.974783	13.023147	14.810778	-44.128197	66000	-1.7464162e-08	240.7655	-0.01650435	-84.916565	0.84603626	0.01551	0.177	7.0	219.1914722919464
33	-50.81151	94.68307	12.294019	-391.45374	131.4	-25.375475	16.659885	24.412338	-44.282322	68000	-8.1956386e-10	246.51218	-0.019632911	-106.43791	0.8442194	0.017666627	0.1745	7.0	228.91576027870178
34	-46.00278	88.993904	1.3994477	-382.31082	122.4375	-23.637941	13.774553	13.386311	-43.891598	70000	-3.4272671e-09	196.90054	-0.017126085	-97.016525	0.842554	0.015384194	0.18	7.0	239.15551090240479
35	-34.557644	42.6701	8.586312	-168.51474	99.05	-16.439024	7.848061	10.707647	-43.189777	72000	-9.998679e-09	593.12256	-0.021545708	-310.75198	0.8408248	0.015802462	0.278	8.0	248.9220416545868
36	-50.486813	92.95654	7.7097783	-376.19153	124.8125	-24.137543	10.722313	14.29567	-44.09191	74000	-1.218915e-08	283.9777	-0.015531409	-122.90576	0.8395377	0.016282318	0.2155	8.0	258.6635663509369
37	-49.99115	109.80653	9.422221	-419.73328	151.3077	-27.240963	11.510107	26.219418	-43.92618	76000	-3.7923455e-09	276.8831	-0.021025397	-114.96347	0.8384541	0.017521426	0.1995	8.0	268.4495189189911
38	-47.25452	106.30631	15.837614	-379.63434	150.27272	-27.691765	12.635062	10.59335	-43.08434	78000	-1.45286325e-08	212.27513	-0.016834617	-78.17993	0.83705485	0.015417111	0.1815	7.0	278.2076168060303
39	-20.817984	27.090675	17.025196	-100.918274	78.10526	-16.63241	12.62114	7.8476725	-41.599483	80000	-7.152557e-09	261.3097	-0.015603203	-82.624725	0.8358841	0.015674861	0.141	6.0	288.3917272090912
40	-38.15198	87.28231	8.996268	-359.5844	122.8125	-21.846594	14.277602	9.832086	-41.25975	82000	-4.166737e-09	181.21222	-0.014474049	-56.450943	0.8347101	0.015602112	0.1995	7.0	298.27547121047974
41	-57.88646	113.26818	15.803202	-438.8755	149.6923	-23.512548	12.070739	7.5741715	-40.145924	84000	-2.6077032e-08	198.77704	-0.018543977	-88.62614	0.83281946	0.016291477	0.2315	8.0	308.39795994758606
42	-25.169828	32.439445	5.222698	-110.67708	87.69231	-26.722342	11.683629	7.7383585	-42.580486	86000	1.1250377e-08	276.86276	-0.018560212	-95.381714	0.8307705	0.01632945	0.23	8.0	318.1511836051941
43	-31.19835	88.56167	46.21427	-371.68457	107.166664	-25.097212	10.895018	15.84444	-41.072998	88000	1.7628073e-08	265.98566	-0.020909805	-125.01878	0.82911015	0.018217437	0.1935	7.0	328.16313886642456
