Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	114.78939	33.13992	219.57655	79.24081	263.7993	6.062861	271.8817	253.67468	22.908047	47.7	1999	20.452858	8.592631	45.337223	-6.0711927	20.454552	8.588276	44.35614	-0.95896345	-10.520118	1.7614495	43.090332	-19.784464	-22.766548	4.098823	175.0999665260315
2	130.81006	39.737602	227.76283	78.32514	262.1762	7.9222865	274.94638	251.78848	25.986841	47.8	3999	59.3634	23.737898	113.046234	-11.421712	59.363895	23.731073	112.371956	-12.024037	-6.508669	4.408966	21.51808	-20.665257	-62.906677	11.922287	687.6905212402344
3	127.14617	41.78065	301.5744	78.39234	279.21234	13.228904	300.32745	250.45409	25.367088	50.2	5999	110.46748	42.987804	191.01614	-42.939255	110.46815	42.982697	190.75266	-44.649277	-2.146676	5.70661	26.518093	-20.552036	-117.51603	31.110907	1315.641547203064
4	125.30072	39.87828	240.62523	78.76573	382.75244	38.001064	454.86734	340.67188	24.962963	83.1	7999	165.77582	67.193726	277.02768	-71.94876	165.77638	67.19051	277.1734	-56.65447	1.2984136	5.9862766	31.09631	-19.882416	-177.27011	63.751614	1967.4385948181152
5	118.52415	34.14026	225.95346	83.18706	194.75357	56.46356	286.6272	143.43158	23.535715	43.7	9999	231.51964	98.29767	386.71536	-73.635765	231.51952	98.285515	388.16296	-94.23234	5.9236565	6.1198015	45.183983	-19.661694	-249.53065	109.86353	2631.2256865501404
6	349.19113	109.16281	595.667	98.77148	289.3947	78.48805	514.9499	240.03127	69.13793	64.0	11999	304.0525	123.68706	468.29904	-64.80796	304.05527	123.66371	466.1962	-87.42693	5.913518	7.6674747	46.079094	-19.51064	-322.125	294.1405	3309.8807446956635
7	369.5922	107.87232	727.7236	219.04936	375.12994	25.483385	415.1971	327.40924	74.333336	71.0	13999	321.18494	136.36609	489.03757	-187.8223	321.19302	136.32875	501.1572	-150.61925	3.7519844	8.823529	42.827934	-19.891266	-333.3333	327.17096	3974.0955772399902
8	362.1705	63.91105	468.97452	196.3666	349.13907	27.506931	408.86273	305.4357	69.10345	66.7	15999	303.6094	147.87761	488.36545	-135.89441	303.60886	147.85272	497.15103	-121.585625	2.2426596	8.154082	39.891132	-20.187813	-313.00613	347.69614	4589.935468673706
9	359.04123	53.06268	512.9812	263.23672	354.90704	40.19778	431.35764	312.2934	66.0	64.8	17999	282.9094	150.52975	476.10553	-77.81082	282.9047	150.518	472.0053	-74.78711	1.265362	7.6771827	40.286507	-21.125027	-290.92526	321.42346	5145.695729970932
10	310.54248	51.740063	461.05124	212.10626	378.0377	28.749369	441.35574	344.79877	57.62857	67.2	19999	263.37265	145.97113	461.5656	-72.8275	263.36542	145.99435	457.0896	-67.63093	0.7650244	7.89888	39.732185	-20.699966	-270.51212	281.21802	5692.089598417282
